rewrite,nbre_car
marnhagues-et-latour,20,Marnhagues-et-Latour
martiel,7,Martiel
martrin,7,Martrin
mayran,6,Mayran
melagues,8,Mélagues
meljac,6,Meljac
millau,6,Millau
montagnol,9,Montagnol
montbazens,10,Montbazens
montclar,8,Montclar
monteils,8,Monteils
montezic,8,Montézic
montfranc,9,Montfranc
montjaux,8,Montjaux
montlaur,8,Montlaur
montpeyroux,11,Montpeyroux
montrozier,10,Montrozier
montsales,9,Montsalès
morlhon-le-haut,15,Morlhon-le-Haut
mostuejouls,11,Mostuéjouls
mounes-prohencoux,17,Mounes-Prohencoux
mouret,6,Mouret
moyrazes,8,Moyrazès
mur-de-barrez,13,Mur-de-Barrez
murasson,8,Murasson
muret-le-chateau,16,Muret-le-Château
murols,6,Murols
najac,5,Najac
nant,4,Nant
naucelle,8,Naucelle
naussac,7,Naussac
nauviale,8,Nauviale
noailhac,8,Noailhac
olemps,6,Olemps
ols-et-rinhodes,15,Ols-et-Rinhodes
onet-le-chateau,15,Onet-le-Château
palmas,6,Palmas
paulhe,6,Paulhe
peux-et-couffouleux,19,Peux-et-Couffouleux
peyreleau,9,Peyreleau
peyrusse-le-roc,15,Peyrusse-le-Roc
pierrefiche,11,Pierrefiche
plaisance,9,Plaisance
pomayrols,9,Pomayrols
pont-de-salars,14,Pont-de-Salars
pousthomy,9,Pousthomy
prades-d-aubrac,15,Prades-d'Aubrac
prades-salars,13,Prades-Salars
pradinas,8,Pradinas
previnquieres,13,Prévinquières
privezac,8,Privezac
pruines,7,Pruines
quins,5,Quins
rebourguil,10,Rebourguil
recoules-previnquieres,22,Recoules-Prévinquières
requista,8,Réquista
rieupeyroux,11,Rieupeyroux
rignac,6,Rignac
riviere-sur-tarn,16,Rivière-sur-Tarn
rodelle,7,Rodelle
rodez,5,Rodez
roquefort-sur-soulzon,21,Roquefort-sur-Soulzon
roussennac,10,Roussennac
rullac-saint-cirq,17,Rullac-Saint-Cirq
saint-affrique,14,Saint-Affrique
saint-amans-des-cots,20,Saint-Amans-des-Cots
saint-andre-de-najac,20,Saint-André-de-Najac
saint-andre-de-vezines,22,Saint-André-de-Vézines
saint-beaulize,14,Saint-Beaulize
saint-beauzely,14,Saint-Beauzély
saint-chely-d-aubrac,20,Saint-Chély-d'Aubrac
saint-christophe-vallon,23,Saint-Christophe-Vallon
saint-come-d-olt,16,Saint-Côme-d'Olt
saint-cyprien-sur-dourdou,25,Saint-Cyprien-sur-Dourdou
saint-felix-de-lunel,20,Saint-Félix-de-Lunel
saint-felix-de-sorgues,22,Saint-Félix-de-Sorgues
saint-geniez-d-olt,18,Saint-Geniez-d'Olt
saint-georges-de-luzencon,25,Saint-Georges-de-Luzençon
saint-hippolyte,15,Saint-Hippolyte
saint-igest,11,Saint-Igest
saint-izaire,12,Saint-Izaire
saint-jean-d-alcapies,21,Saint-Jean-d'Alcapiès
saint-jean-delnous,18,Saint-Jean-Delnous
saint-jean-du-bruel,19,Saint-Jean-du-Bruel
saint-jean-et-saint-paul,24,Saint-Jean-et-Saint-Paul
saint-juery,11,Saint-Juéry
saint-just-sur-viaur,20,Saint-Just-sur-Viaur
saint-laurent-d-olt,19,Saint-Laurent-d'Olt
saint-laurent-de-levezou,24,Saint-Laurent-de-Lévézou
saint-leons,11,Saint-Léons
saint-martin-de-lenne,21,Saint-Martin-de-Lenne
saint-parthem,13,Saint-Parthem
saint-remy,10,Saint-Rémy
saint-rome-de-cernon,20,Saint-Rome-de-Cernon
saint-rome-de-tarn,18,Saint-Rome-de-Tarn
saint-salvadou,14,Saint-Salvadou
saint-santin,12,Saint-Santin
saint-saturnin-de-lenne,23,Saint-Saturnin-de-Lenne
saint-sernin-sur-rance,22,Saint-Sernin-sur-Rance
saint-sever-du-moustier,23,Saint-Sever-du-Moustier
saint-symphorien-de-thenieres,29,Saint-Symphorien-de-Thénières
saint-victor-et-melvieu,23,Saint-Victor-et-Melvieu
sainte-croix,12,Sainte-Croix
sainte-eulalie-d-olt,20,Sainte-Eulalie-d'Olt
sainte-eulalie-de-cernon,24,Sainte-Eulalie-de-Cernon
sainte-genevieve-sur-argence,28,Sainte-Geneviève-sur-Argence
sainte-juliette-sur-viaur,25,Sainte-Juliette-sur-Viaur
sainte-radegonde,16,Sainte-Radegonde
salles-courbaties,17,Salles-Courbatiès
salles-curan,12,Salles-Curan
salles-la-source,16,Salles-la-Source
salmiech,8,Salmiech
salvagnac-cajarc,16,Salvagnac-Cajarc
sanvensa,8,Sanvensa
sauclieres,10,Sauclières
saujac,6,Saujac
sauveterre-de-rouergue,22,Sauveterre-de-Rouergue
savignac,8,Savignac
sebazac-concoures,17,Sébazac-Concourès
sebrazac,8,Sébrazac
segur,5,Ségur
senergues,9,Sénergues
severac-l-eglise,16,Sévérac-l'Eglise
severac-le-chateau,18,Sévérac-le-Château
sonnac,6,Sonnac
soulages-bonneval,17,Soulages-Bonneval
sylvanes,8,Sylvanès
tauriac-de-camares,18,Tauriac-de-Camarès
tauriac-de-naucelle,19,Tauriac-de-Naucelle
taussac,7,Taussac
tayrac,6,Tayrac
therondels,10,Thérondels
toulonjac,9,Toulonjac
tournemire,10,Tournemire
tremouilles,11,Trémouilles
vabre-tizac,11,Vabre-Tizac
vabres-l-abbaye,15,Vabres-l'Abbaye
vailhourles,11,Vailhourles
valady,6,Valady
valzergues,10,Valzergues
vaureilles,10,Vaureilles
verrieres,9,Verrières
versols-et-lapeyre,18,Versols-et-Lapeyre
veyreau,7,Veyreau
vezins-de-levezou,17,Vézins-de-Lévézou
viala-du-pas-de-jaux,20,Viala-du-Pas-de-Jaux
viala-du-tarn,13,Viala-du-Tarn
villecomtal,11,Villecomtal
villefranche-de-panat,21,Villefranche-de-Panat
villefranche-de-rouergue,24,Villefranche-de-Rouergue
villeneuve,10,Villeneuve
vimenet,7,Vimenet
vitrac-en-viadene,17,Vitrac-en-Viadène
viviez,6,Viviez
aix-en-provence,15,Aix-en-Provence
allauch,7,Allauch
alleins,7,Alleins
arles,5,Arles
aubagne,7,Aubagne
aureille,8,Aureille
auriol,6,Auriol
aurons,6,Aurons
barbentane,10,Barbentane
beaurecueil,11,Beaurecueil
belcodene,9,Belcodène
berre-l-etang,13,Berre-l'Etang
bouc-bel-air,12,Bouc-Bel-Air
boulbon,7,Boulbon
cabannes,8,Cabannes
cabries,7,Cabriès
cadolive,8,Cadolive
carnoux-en-provence,19,Carnoux-en-Provence
carry-le-rouet,14,Carry-le-Rouet
cassis,6,Cassis
ceyreste,8,Ceyreste
charleval,9,Charleval
chateauneuf-le-rouge,20,Châteauneuf-le-Rouge
chateauneuf-les-martigues,25,Châteauneuf-les-Martigues
chateaurenard,13,Châteaurenard
cornillon-confoux,17,Cornillon-Confoux
coudoux,7,Coudoux
cuges-les-pins,14,Cuges-les-Pins
eguilles,8,Eguilles
ensues-la-redonne,17,Ensuès-la-Redonne
eygalieres,10,Eygalières
eyguieres,9,Eyguières
eyragues,8,Eyragues
fontvieille,11,Fontvieille
fos-sur-mer,11,Fos-sur-Mer
fuveau,6,Fuveau
gardanne,8,Gardanne
gemenos,7,Gémenos
gignac-la-nerthe,16,Gignac-la-Nerthe
grans,5,Grans
graveson,8,Graveson
greasque,8,Gréasque
istres,6,Istres
jouques,7,Jouques
la-barben,9,"La Barben"
la-bouilladisse,15,"La Bouilladisse"
la-ciotat,9,"La Ciotat"
la-destrousse,13,"La Destrousse"
la-fare-les-oliviers,20,"La Fare-les-Oliviers"
la-penne-sur-huveaune,21,"La Penne-sur-Huveaune"
la-roque-d-antheron,19,"La Roque-d'Anthéron"
lamanon,7,Lamanon
lambesc,7,Lambesc
lancon-provence,15,Lançon-Provence
le-puy-sainte-reparade,22,"Le Puy-Sainte-Réparade"
le-rove,7,"Le Rove"
le-tholonet,11,"Le Tholonet"
les-baux-de-provence,20,"Les Baux-de-Provence"
les-pennes-mirabeau,19,"Les Pennes-Mirabeau"
maillane,8,Maillane
mallemort,9,Mallemort
marignane,9,Marignane
marseille,9,Marseille
martigues,9,Martigues
mas-blanc-des-alpilles,22,Mas-Blanc-des-Alpilles
maussane-les-alpilles,21,Maussane-les-Alpilles
meyrargues,10,Meyrargues
meyreuil,8,Meyreuil
mimet,5,Mimet
miramas,7,Miramas
molleges,8,Mollégès
mouries,7,Mouriès
noves,5,Noves
orgon,5,Orgon
paradou,7,Paradou
pelissanne,10,Pélissanne
peynier,7,Peynier
peypin,6,Peypin
peyrolles-en-provence,21,Peyrolles-en-Provence
plan-d-orgon,12,Plan-d'Orgon
plan-de-cuques,14,Plan-de-Cuques
port-de-bouc,12,Port-de-Bouc
port-saint-louis-du-rhone,25,Port-Saint-Louis-du-Rhône
puyloubier,10,Puyloubier
rognac,6,Rognac
rognes,6,Rognes
rognonas,8,Rognonas
roquefort-la-bedoule,20,Roquefort-la-Bédoule
roquevaire,10,Roquevaire
rousset,7,Rousset
saint-andiol,12,Saint-Andiol
saint-antonin-sur-bayon,23,Saint-Antonin-sur-Bayon
saint-cannat,12,Saint-Cannat
saint-chamas,12,Saint-Chamas
saint-esteve-janson,19,Saint-Estève-Janson
saint-etienne-du-gres,21,Saint-Etienne-du-Grès
saint-marc-jaumegarde,21,Saint-Marc-Jaumegarde
saint-martin-de-crau,20,Saint-Martin-de-Crau
saint-mitre-les-remparts,24,Saint-Mitre-les-Remparts
saint-paul-les-durance,22,Saint-Paul-lès-Durance
saint-pierre-de-mezoargues,26,Saint-Pierre-de-Mézoargues
saint-remy-de-provence,22,Saint-Rémy-de-Provence
saint-savournin,15,Saint-Savournin
saint-victoret,14,Saint-Victoret
saintes-maries-de-la-mer,24,Saintes-Maries-de-la-Mer
salon-de-provence,17,Salon-de-Provence
sausset-les-pins,16,Sausset-les-Pins
senas,5,Sénas
septemes-les-vallons,20,Septèmes-les-Vallons
simiane-collongue,17,Simiane-Collongue
tarascon,8,Tarascon
trets,5,Trets
vauvenargues,12,Vauvenargues
velaux,6,Velaux
venelles,8,Venelles
ventabren,9,Ventabren
vernegues,9,Vernègues
verquieres,10,Verquières
vitrolles,9,Vitrolles
ablon,5,Ablon
acqueville,10,Acqueville
agy,3,Agy
aignerville,11,Aignerville
airan,5,Airan
amaye-sur-orne,14,Amayé-sur-Orne
amaye-sur-seulles,17,Amayé-sur-Seulles
amblie,6,Amblie
amfreville,10,Amfreville
anctoville,10,Anctoville
angerville,10,Angerville
angoville,9,Angoville
anguerny,8,Anguerny
anisy,5,Anisy
annebault,9,Annebault
arganchy,8,Arganchy
argences,8,Argences
arromanches-les-bains,21,Arromanches-les-Bains
asnelles,8,Asnelles
asnieres-en-bessin,18,Asnières-en-Bessin
auberville,10,Auberville
aubigny,7,Aubigny
audrieu,7,Audrieu
aunay-sur-odon,14,Aunay-sur-Odon
auquainville,12,Auquainville
authie,6,Authie
auvillars,9,Auvillars
avenay,6,Avenay
balleroy,8,Balleroy
banneville-la-campagne,22,Banneville-la-Campagne
banneville-sur-ajon,19,Banneville-sur-Ajon
banville,8,Banville
barbery,7,Barbery
barbeville,10,Barbeville
barneville-la-bertran,21,Barneville-la-Bertran
baron-sur-odon,14,Baron-sur-Odon
barou-en-auge,13,Barou-en-Auge
basly,5,Basly
basseneville,12,Basseneville
bauquay,7,Bauquay
bavent,6,Bavent
bayeux,6,Bayeux
bazenville,10,Bazenville
beaufour-druval,15,Beaufour-Druval
beaulieu,8,Beaulieu
beaumais,8,Beaumais
beaumesnil,10,Beaumesnil
beaumont-en-auge,16,Beaumont-en-Auge
bellengreville,14,Bellengreville
bellou,6,Bellou
benerville-sur-mer,18,Benerville-sur-Mer
benouville,10,Bénouville
beny-sur-mer,12,Bény-sur-Mer
bernesq,7,Bernesq
bernieres-d-ailly,17,Bernières-d'Ailly
bernieres-le-patry,18,Bernières-le-Patry
bernieres-sur-mer,17,Bernières-sur-Mer
beuvillers,10,Beuvillers
beuvron-en-auge,15,Beuvron-en-Auge
bieville-beuville,17,Biéville-Beuville
bieville-quetieville,20,Biéville-Quétiéville
billy,5,Billy
bissieres,9,Bissières
blainville-sur-orne,19,Blainville-sur-Orne
blangy-le-chateau,17,Blangy-le-Château
blay,4,Blay
blonville-sur-mer,17,Blonville-sur-Mer
boissey,7,Boissey
bonnebosq,9,Bonnebosq
bonnemaison,11,Bonnemaison
bonneville-la-louvet,20,Bonneville-la-Louvet
bonneville-sur-touques,22,Bonneville-sur-Touques
bonnoeil,8,Bonnoeil
bons-tassilly,13,Bons-Tassilly
bougy,5,Bougy
boulon,6,Boulon
bourgeauville,13,Bourgeauville
bourguebus,10,Bourguébus
branville,9,Branville
bremoy,6,Brémoy
bretteville-l-orgueilleuse,26,Bretteville-l'Orgueilleuse
bretteville-le-rabet,20,Bretteville-le-Rabet
bretteville-sur-dives,21,Bretteville-sur-Dives
bretteville-sur-laize,21,Bretteville-sur-Laize
bretteville-sur-odon,20,Bretteville-sur-Odon
breville-les-monts,18,Bréville-les-Monts
bricqueville,12,Bricqueville
brouay,6,Brouay
brucourt,8,Brucourt
buceels,7,Bucéels
burcy,5,Burcy
bures-les-monts,15,Bures-les-Monts
cabourg,7,Cabourg
caen,4,Caen
cagny,5,Cagny
cahagnes,8,Cahagnes
cahagnolles,11,Cahagnolles
cairon,6,Cairon
cambes-en-plaine,16,Cambes-en-Plaine
cambremer,9,Cambremer
campagnolles,12,Campagnolles
campandre-valcongrain,21,Campandré-Valcongrain
campeaux,8,Campeaux
campigny,8,Campigny
canapville,10,Canapville
canchy,6,Canchy
canteloup,9,Canteloup
carcagny,8,Carcagny
cardonville,11,Cardonville
carpiquet,9,Carpiquet
cartigny-l-epinay,17,Cartigny-l'Epinay
carville,8,Carville
castillon,9,Castillon
castillon-en-auge,17,Castillon-en-Auge
castilly,8,Castilly
caumont-l-evente,16,Caumont-l'Eventé
caumont-sur-orne,16,Caumont-sur-Orne
cauvicourt,10,Cauvicourt
cauville,8,Cauville
cernay,6,Cernay
cerqueux,8,Cerqueux
cesny-aux-vignes,16,Cesny-aux-Vignes
cesny-bois-halbout,18,Cesny-Bois-Halbout
champ-du-boult,14,Champ-du-Boult
cheffreville-tonnencourt,24,Cheffreville-Tonnencourt
chenedolle,10,Chênedollé
cheux,5,Cheux
chicheboville,13,Chicheboville
chouain,7,Chouain
cintheaux,9,Cintheaux
clarbec,7,Clarbec
clecy,5,Clécy
cleville,8,Cléville
clinchamps-sur-orne,19,Clinchamps-sur-Orne
colleville-montgomery,21,Colleville-Montgomery
colleville-sur-mer,18,Colleville-sur-Mer
colombelles,11,Colombelles
colombieres,11,Colombières
colombiers-sur-seulles,22,Colombiers-sur-Seulles
colomby-sur-thaon,17,Colomby-sur-Thaon
combray,7,Combray
commes,6,Commes
conde-sur-ifs,13,Condé-sur-Ifs
conde-sur-noireau,17,Condé-sur-Noireau
conde-sur-seulles,17,Condé-sur-Seulles
conteville,10,Conteville
coquainvilliers,15,Coquainvilliers
cordebugle,10,Cordebugle
cordey,6,Cordey
cormelles-le-royal,18,Cormelles-le-Royal
cormolain,9,Cormolain
cossesseville,13,Cossesseville
cottun,6,Cottun
coudray-rabut,13,Coudray-Rabut
coulombs,8,Coulombs
coulonces,9,Coulonces
coulvain,8,Coulvain
coupesarte,10,Coupesarte
courcy,6,Courcy
courseulles-sur-mer,19,Courseulles-sur-Mer
courson,7,Courson
courtonne-la-meurdrac,21,Courtonne-la-Meurdrac
courtonne-les-deux-eglises,26,Courtonne-les-Deux-Eglises
courvaudon,10,Courvaudon
crepon,6,Crépon
cresserons,10,Cresserons
cresseveuille,13,Cresseveuille
creully,7,Creully
crevecoeur-en-auge,18,Crèvecoeur-en-Auge
cricqueboeuf,12,Cricqueboeuf
cricqueville-en-auge,20,Cricqueville-en-Auge
cricqueville-en-bessin,22,Cricqueville-en-Bessin
cristot,7,Cristot
crocy,5,Crocy
croisilles,10,Croisilles
croissanville,13,Croissanville
crouay,6,Crouay
culey-le-patry,14,Culey-le-Patry
cully,5,Cully
curcy-sur-orne,14,Curcy-sur-Orne
cussy,5,Cussy
cuverville,10,Cuverville
damblainville,13,Damblainville
dampierre,9,Dampierre
danestal,8,Danestal
danvou-la-ferriere,18,Danvou-la-Ferrière
deauville,9,Deauville
demouville,10,Démouville
deux-jumeaux,12,Deux-Jumeaux
dives-sur-mer,13,Dives-sur-Mer
donnay,6,Donnay
douville-en-auge,16,Douville-en-Auge
douvres-la-delivrande,21,Douvres-la-Délivrande
dozule,6,Dozulé
drubec,6,Drubec
ducy-sainte-marguerite,22,Ducy-Sainte-Marguerite
ecrammeville,12,Ecrammeville
ellon,5,Ellon
emieville,9,Emiéville
englesqueville-en-auge,22,Englesqueville-en-Auge
englesqueville-la-percee,24,Englesqueville-la-Percée
epaney,6,Epaney
epinay-sur-odon,15,Epinay-sur-Odon
epron,5,Epron
equemauville,12,Equemauville
eraines,7,Eraines
ernes,5,Ernes
escoville,9,Escoville
espins,6,Espins
esquay-notre-dame,17,Esquay-Notre-Dame
esquay-sur-seulles,18,Esquay-sur-Seulles
esson,5,Esson
estrees-la-campagne,19,Estrées-la-Campagne
estry,5,Estry
eterville,9,Eterville
etouvy,6,Etouvy
etreham,7,Etréham
evrecy,6,Evrecy
falaise,7,Falaise
familly,7,Familly
fauguernon,10,Fauguernon
fervaques,9,Fervaques
feuguerolles-bully,18,Feuguerolles-Bully
fierville-bray,14,Fierville-Bray
fierville-les-parcs,19,Fierville-les-Parcs
firfol,6,Firfol
fleury-sur-orne,15,Fleury-sur-Orne
fontaine-etoupefour,19,Fontaine-Etoupefour
fontaine-henry,14,Fontaine-Henry
fontaine-le-pin,15,Fontaine-le-Pin
fontenay-le-marmion,19,Fontenay-le-Marmion
fontenay-le-pesnel,18,Fontenay-le-Pesnel
fontenermont,12,Fontenermont
formentin,9,Formentin
formigny,8,Formigny
foulognes,9,Foulognes
fourches,8,Fourches
fourneaux-le-val,16,Fourneaux-le-Val
fourneville,11,Fourneville
frenouville,11,Frénouville
fresne-la-mere,14,Fresné-la-Mère
fresney-le-puceux,17,Fresney-le-Puceux
fresney-le-vieux,16,Fresney-le-Vieux
friardel,8,Friardel
fumichon,8,Fumichon
garcelles-secqueville,21,Garcelles-Secqueville
gavrus,6,Gavrus
gefosse-fontenay,16,Géfosse-Fontenay
genneville,10,Genneville
gerrots,7,Gerrots
giberville,10,Giberville
glanville,9,Glanville
glos,4,Glos
gonneville-en-auge,18,Gonneville-en-Auge
gonneville-sur-honfleur,23,Gonneville-sur-Honfleur
gonneville-sur-mer,18,Gonneville-sur-Mer
goupillieres,12,Goupillières
goustranville,13,Goustranville
gouvix,6,Gouvix
grainville-langannerie,22,Grainville-Langannerie
grainville-sur-odon,19,Grainville-sur-Odon
grandcamp-maisy,15,Grandcamp-Maisy
grandchamp-le-chateau,21,Grandchamp-le-Château
grangues,8,Grangues
graye-sur-mer,13,Graye-sur-Mer
grentheville,12,Grentheville
grimbosq,8,Grimbosq
gueron,6,Guéron
hamars,6,Hamars
hermanville-sur-mer,19,Hermanville-sur-Mer
hermival-les-vaux,17,Hermival-les-Vaux
herouville-saint-clair,22,Hérouville-Saint-Clair
herouvillette,13,Hérouvillette
heuland,7,Heuland
heurtevent,10,Heurtevent
hieville,8,Hiéville
honfleur,8,Honfleur
hotot-en-auge,13,Hotot-en-Auge
hottot-les-bagues,17,Hottot-les-Bagues
houlgate,8,Houlgate
hubert-folie,12,Hubert-Folie
ifs,3,Ifs
isigny-sur-mer,14,Isigny-sur-Mer
janville,8,Janville
jort,4,Jort
juaye-mondaye,13,Juaye-Mondaye
jurques,7,Jurques
juvigny-sur-seulles,19,Juvigny-sur-Seulles
l-hotellerie,12,L'Hôtellerie
l-oudon,7,L'Oudon
la-bazoque,10,"La Bazoque"
la-bigne,8,"La Bigne"
la-boissiere,12,"La Boissière"
la-breviere,11,"La Brévière"
la-caine,8,"La Caine"
la-cambe,8,"La Cambe"
la-chapelle-engerbold,21,"La Chapelle-Engerbold"
la-chapelle-haute-grue,22,"La Chapelle-Haute-Grue"
la-chapelle-yvon,16,"La Chapelle-Yvon"
la-croupte,10,"La Croupte"
la-ferriere-harang,18,"La Ferrière-Harang"
la-folie,8,"La Folie"
la-folletiere-abenon,20,"La Folletière-Abenon"
la-graverie,11,"La Graverie"
la-hoguette,11,"La Hoguette"
la-houblonniere,15,"La Houblonnière"
la-lande-sur-drome,18,"La Lande-sur-Drôme"
la-pommeraye,12,"La Pommeraye"
la-riviere-saint-sauveur,24,"La Rivière-Saint-Sauveur"
la-rocque,9,"La Rocque"
la-roque-baignard,17,"La Roque-Baignard"
la-vacquerie,12,"La Vacquerie"
la-vespiere,11,"La Vespière"
la-villette,11,"La Villette"
laize-la-ville,14,Laize-la-Ville
landelles-et-coupigny,21,Landelles-et-Coupigny
landes-sur-ajon,15,Landes-sur-Ajon
langrune-sur-mer,16,Langrune-sur-Mer
lantheuil,9,Lantheuil
lasson,6,Lasson
lassy,5,Lassy
le-beny-bocage,14,"Le Bény-Bocage"
le-bo,5,"Le Bô"
le-breuil-en-auge,17,"Le Breuil-en-Auge"
le-breuil-en-bessin,19,"Le Breuil-en-Bessin"
le-brevedent,12,"Le Brévedent"
le-bu-sur-rouvres,17,"Le Bû-sur-Rouvres"
le-desert,9,"Le Désert"
le-detroit,10,"Le Détroit"
le-faulq,8,"Le Faulq"
le-fournet,10,"Le Fournet"
le-fresne-camilly,17,"Le Fresne-Camilly"
le-gast,7,"Le Gast"
le-locheur,10,"Le Locheur"
le-manoir,9,"Le Manoir"
le-marais-la-chapelle,21,"Le Marais-la-Chapelle"
le-mesnil-au-grain,18,"Le Mesnil-au-Grain"
le-mesnil-auzouf,16,"Le Mesnil-Auzouf"
le-mesnil-bacley,16,"Le Mesnil-Bacley"
le-mesnil-benoist,17,"Le Mesnil-Benoist"
le-mesnil-caussois,18,"Le Mesnil-Caussois"
le-mesnil-durand,16,"Le Mesnil-Durand"
le-mesnil-eudes,15,"Le Mesnil-Eudes"
le-mesnil-germain,17,"Le Mesnil-Germain"
le-mesnil-guillaume,19,"Le Mesnil-Guillaume"
le-mesnil-mauger,16,"Le Mesnil-Mauger"
le-mesnil-patry,15,"Le Mesnil-Patry"
le-mesnil-robert,16,"Le Mesnil-Robert"
le-mesnil-simon,15,"Le Mesnil-Simon"
le-mesnil-sur-blangy,20,"Le Mesnil-sur-Blangy"
le-mesnil-villement,19,"Le Mesnil-Villement"
le-molay-littry,15,"Le Molay-Littry"
le-pin,6,"Le Pin"
le-plessis-grimoult,19,"Le Plessis-Grimoult"
le-pre-d-auge,13,"Le Pré-d'Auge"
le-reculey,10,"Le Reculey"
le-theil-bocage,15,"Le Theil-Bocage"
le-theil-en-auge,16,"Le Theil-en-Auge"
le-torquesne,12,"Le Torquesne"
le-tourneur,11,"Le Tourneur"
le-tronquay,11,"Le Tronquay"
le-vey,6,"Le Vey"
leaupartie,10,Léaupartie
lecaude,7,Lécaude
leffard,7,Leffard
lenault,7,Lénault
les-autels-saint-bazile,23,"Les Autels-Saint-Bazile"
les-authieux-papion,19,"Les Authieux-Papion"
les-authieux-sur-calonne,24,"Les Authieux-sur-Calonne"
les-isles-bardel,16,"Les Isles-Bardel"
les-loges,9,"Les Loges"
les-loges-saulces,17,"Les Loges-Saulces"
les-monceaux,12,"Les Monceaux"
les-moutiers-en-auge,20,"Les Moutiers-en-Auge"
les-moutiers-en-cinglais,24,"Les Moutiers-en-Cinglais"
les-moutiers-hubert,19,"Les Moutiers-Hubert"
les-oubeaux,11,"Les Oubeaux"
lessard-et-le-chene,19,Lessard-et-le-Chêne
lingevres,9,Lingèvres
lion-sur-mer,12,Lion-sur-Mer
lisieux,7,Lisieux
lison,5,Lison
lisores,7,Lisores
litteau,7,Litteau
livarot,7,Livarot
livry,5,Livry
longraye,8,Longraye
longues-sur-mer,15,Longues-sur-Mer
longueville,11,Longueville
longvillers,11,Longvillers
loucelles,9,Loucelles
louvagny,8,Louvagny
louvieres,9,Louvières
louvigny,8,Louvigny
luc-sur-mer,11,Luc-sur-Mer
magny-en-bessin,15,Magny-en-Bessin
magny-la-campagne,17,Magny-la-Campagne
magny-le-freule,15,Magny-le-Freule
maisoncelles-la-jourdan,23,Maisoncelles-la-Jourdan
maisoncelles-pelvey,19,Maisoncelles-Pelvey
maisoncelles-sur-ajon,21,Maisoncelles-sur-Ajon
maisons,7,Maisons
maizet,6,Maizet
maizieres,9,Maizières
malloue,7,Malloué
maltot,6,Maltot
mandeville-en-bessin,20,Mandeville-en-Bessin
manerbe,7,Manerbe
manneville-la-pipard,20,Manneville-la-Pipard
manvieux,8,Manvieux
marolles,8,Marolles
martainville,12,Martainville
martigny-sur-l-ante,19,Martigny-sur-l'Ante
martragny,9,Martragny
mathieu,7,Mathieu
may-sur-orne,12,May-sur-Orne
merville-franceville-plage,26,Merville-Franceville-Plage
mery-corbon,11,Méry-Corbon
meslay,6,Meslay
mesnil-clinchamps,17,Mesnil-Clinchamps
meulles,7,Meulles
meuvaines,9,Meuvaines
mezidon-canon,13,Mézidon-Canon
missy,5,Missy
mittois,7,Mittois
monceaux-en-bessin,18,Monceaux-en-Bessin
mondeville,10,Mondeville
mondrainville,13,Mondrainville
monfreville,11,Monfréville
mont-bertrand,13,Mont-Bertrand
montamy,7,Montamy
montchamp,9,Montchamp
montchauvet,11,Montchauvet
monteille,9,Monteille
montfiquet,10,Montfiquet
montigny,8,Montigny
montreuil-en-auge,17,Montreuil-en-Auge
monts-en-bessin,15,Monts-en-Bessin
montviette,10,Montviette
morteaux-couliboeuf,19,Morteaux-Couliboeuf
mosles,6,Mosles
mouen,5,Mouen
moulines,8,Moulines
moult,5,Moult
moyaux,6,Moyaux
mutrecy,7,Mutrécy
neuilly-la-foret,16,Neuilly-la-Forêt
nonant,6,Nonant
norolles,8,Norolles
noron-l-abbaye,14,Noron-l'Abbaye
noron-la-poterie,16,Noron-la-Poterie
norrey-en-auge,14,Norrey-en-Auge
notre-dame-d-estrees-corbon,27,Notre-Dame-d'Estrées-Corbon
notre-dame-de-courson,21,Notre-Dame-de-Courson
notre-dame-de-livaye,20,Notre-Dame-de-Livaye
noyers-bocage,13,Noyers-Bocage
olendon,7,Olendon
ondefontaine,12,Ondefontaine
orbec,5,Orbec
osmanville,10,Osmanville
ouezy,5,Ouézy
ouffieres,9,Ouffières
ouilly-du-houley,16,Ouilly-du-Houley
ouilly-le-tesson,16,Ouilly-le-Tesson
ouilly-le-vicomte,17,Ouilly-le-Vicomte
ouistreham,10,Ouistreham
ouville-la-bien-tournee,23,Ouville-la-Bien-Tournée
parfouru-sur-odon,17,Parfouru-sur-Odon
pennedepie,10,Pennedepie
percy-en-auge,13,Percy-en-Auge
periers-en-auge,15,Périers-en-Auge
periers-sur-le-dan,18,Périers-sur-le-Dan
perigny,7,Périgny
perrieres,9,Perrières
pertheville-ners,16,Pertheville-Ners
petiville,9,Petiville
pierrefitte-en-auge,19,Pierrefitte-en-Auge
pierrefitte-en-cinglais,23,Pierrefitte-en-Cinglais
pierrepont,10,Pierrepont
pierres,7,Pierres
placy,5,Placy
planquery,9,Planquery
plumetot,8,Plumetot
pont-bellanger,14,Pont-Bellanger
pont-d-ouilly,13,Pont-d'Ouilly
pont-farcy,10,Pont-Farcy
pont-l-eveque,13,Pont-l'Evêque
pontecoulant,12,Pontécoulant
port-en-bessin-huppain,22,Port-en-Bessin-Huppain
potigny,7,Potigny
poussy-la-campagne,18,Poussy-la-Campagne
preaux-bocage,13,Préaux-Bocage
preaux-saint-sebastien,22,Préaux-Saint-Sébastien
presles,7,Presles
pretreville,11,Prêtreville
proussy,7,Proussy
putot-en-auge,13,Putot-en-Auge
putot-en-bessin,15,Putot-en-Bessin
quetteville,11,Quetteville
ranchy,6,Ranchy
ranville,8,Ranville
rapilly,7,Rapilly
