rewrite,nbre_car
lompnieu,8,Lompnieu
loyettes,8,Loyettes
lurcy,5,Lurcy
magnieu,7,Magnieu
maillat,7,Maillat
malafretaz,10,Malafretaz
mantenay-montlin,16,Mantenay-Montlin
manziat,7,Manziat
marboz,6,Marboz
marchamp,8,Marchamp
marignieu,9,Marignieu
marlieux,8,Marlieux
marsonnas,9,Marsonnas
martignat,9,Martignat
massieux,8,Massieux
massignieu-de-rives,19,Massignieu-de-Rives
matafelon-granges,17,Matafelon-Granges
meillonnas,10,Meillonnas
merignat,8,Mérignat
messimy-sur-saone,17,Messimy-sur-Saône
meximieux,9,Meximieux
mezeriat,8,Mézériat
mijoux,6,Mijoux
mionnay,7,Mionnay
miribel,7,Miribel
miserieux,9,Misérieux
mogneneins,10,Mogneneins
montagnat,9,Montagnat
montagnieu,10,Montagnieu
montanges,9,Montanges
montceaux,9,Montceaux
montcet,7,Montcet
monthieux,9,Monthieux
montluel,8,Montluel
montmerle-sur-saone,19,Montmerle-sur-Saône
montracol,9,Montracol
montreal-la-cluse,17,Montréal-la-Cluse
montrevel-en-bresse,19,Montrevel-en-Bresse
murs-et-gelignieux,18,Murs-et-Gélignieux
nantua,6,Nantua
nattages,8,Nattages
neuville-les-dames,18,Neuville-les-Dames
neuville-sur-ain,16,Neuville-sur-Ain
neyron,6,Neyron
nievroz,7,Niévroz
nivollet-montgriffon,20,Nivollet-Montgriffon
nurieux-volognat,16,Nurieux-Volognat
oncieu,6,Oncieu
ordonnaz,8,Ordonnaz
ornex,5,Ornex
outriaz,7,Outriaz
oyonnax,7,Oyonnax
ozan,4,Ozan
parcieux,8,Parcieux
parves,6,Parves
peron,5,Péron
peronnas,8,Péronnas
perouges,8,Pérouges
perrex,6,Perrex
peyriat,7,Peyriat
peyrieu,7,Peyrieu
peyzieux-sur-saone,18,Peyzieux-sur-Saône
pirajoux,8,Pirajoux
pizay,5,Pizay
plagne,6,Plagne
polliat,7,Polliat
pollieu,7,Pollieu
poncin,6,Poncin
pont-d-ain,10,Pont-d'Ain
pont-de-vaux,12,Pont-de-Vaux
pont-de-veyle,13,Pont-de-Veyle
port,4,Port
pougny,6,Pougny
pouillat,8,Pouillat
premeyzel,9,Prémeyzel
premillieu,10,Prémillieu
pressiat,8,Pressiat
prevessin-moens,15,Prévessin-Moëns
priay,5,Priay
pugieu,6,Pugieu
ramasse,7,Ramasse
rance,5,Rancé
relevant,8,Relevant
replonges,9,Replonges
revonnas,8,Revonnas
reyrieux,8,Reyrieux
reyssouze,9,Reyssouze
rignieux-le-franc,17,Rignieux-le-Franc
romans,6,Romans
rossillon,9,Rossillon
ruffieu,7,Ruffieu
saint-alban,11,Saint-Alban
saint-andre-d-huiriat,21,Saint-André-d'Huiriat
saint-andre-de-bage,19,Saint-André-de-Bâgé
saint-andre-de-corcy,20,Saint-André-de-Corcy
saint-andre-le-bouchoux,23,Saint-André-le-Bouchoux
saint-andre-sur-vieux-jonc,26,Saint-André-sur-Vieux-Jonc
saint-benigne,13,Saint-Bénigne
saint-benoit,12,Saint-Benoît
saint-bernard,13,Saint-Bernard
saint-bois,10,Saint-Bois
saint-champ,11,Saint-Champ
saint-cyr-sur-menthon,21,Saint-Cyr-sur-Menthon
saint-denis-en-bugey,20,Saint-Denis-en-Bugey
saint-denis-les-bourg,21,Saint-Denis-lès-Bourg
saint-didier-d-aussiat,22,Saint-Didier-d'Aussiat
saint-didier-de-formans,23,Saint-Didier-de-Formans
saint-didier-sur-chalaronne,27,Saint-Didier-sur-Chalaronne
saint-eloi,10,Saint-Eloi
saint-etienne-du-bois,21,Saint-Etienne-du-Bois
saint-etienne-sur-chalaronne,28,Saint-Etienne-sur-Chalaronne
saint-etienne-sur-reyssouze,27,Saint-Etienne-sur-Reyssouze
saint-genis-pouilly,19,Saint-Genis-Pouilly
saint-genis-sur-menthon,23,Saint-Genis-sur-Menthon
saint-georges-sur-renon,23,Saint-Georges-sur-Renon
saint-germain-de-joux,21,Saint-Germain-de-Joux
saint-germain-les-paroisses,27,Saint-Germain-les-Paroisses
saint-germain-sur-renon,23,Saint-Germain-sur-Renon
saint-jean-de-gonville,22,Saint-Jean-de-Gonville
saint-jean-de-niost,19,Saint-Jean-de-Niost
saint-jean-de-thurigneux,24,Saint-Jean-de-Thurigneux
saint-jean-le-vieux,19,Saint-Jean-le-Vieux
saint-jean-sur-reyssouze,24,Saint-Jean-sur-Reyssouze
saint-jean-sur-veyle,20,Saint-Jean-sur-Veyle
saint-julien-sur-reyssouze,26,Saint-Julien-sur-Reyssouze
saint-julien-sur-veyle,22,Saint-Julien-sur-Veyle
saint-just,10,Saint-Just
saint-laurent-sur-saone,23,Saint-Laurent-sur-Saône
saint-marcel,12,Saint-Marcel
saint-martin-de-bavel,21,Saint-Martin-de-Bavel
