rewrite,nbre_car
seillonnaz,10
sergy,5
sermoyer,8
serrieres-de-briord,19
serrieres-sur-ain,17
servas,6
servignat,9
seyssel,7
simandre-sur-suran,18
songieu,7
sonthonnax-la-montagne,22
souclin,7
sulignat,8
surjoux,7
sutrieu,7
talissieu,9
tenay,5
thezillieu,10
thil,4
thoiry,6
thoissey,8
torcieu,7
tossiat,7
toussieux,9
tramoyes,8
treffort-cuisiat,16
trevoux,7
valeins,7
vandeins,8
varambon,8
vaux-en-bugey,13
verjon,6
vernoux,7
versailleux,11
versonnex,9
vesancy,7
vescours,8
vesines,7
vieu,4
vieu-d-izenave,14
villars-les-dombes,18
villebois,9
villemotier,11
villeneuve,10
villereversure,14
villes,6
villette-sur-ain,16
villieu-loyes-mollon,20
viriat,6
virieu-le-grand,15
virieu-le-petit,15
virignin,8
vongnes,7
vonnas,6
abbecourt,9
achery,6
acy,3
agnicourt-et-sechelles,22
aguilcourt,10
aisonville-et-bernoville,24
aizelles,8
aizy-jouy,9
alaincourt,10
allemant,8
ambleny,7
ambrief,7
amifontaine,11
amigny-rouy,11
ancienville,11
andelain,8
anguilcourt-le-sart,19
anizy-le-chateau,16
annois,6
any-martin-rieux,16
archon,6
arcy-sainte-restitue,20
armentieres-sur-ourcq,21
arrancy,7
artemps,7
artonges,8
assis-sur-serre,15
athies-sous-laon,16
attilly,7
aubencheul-aux-bois,19
aubenton,8
aubigny-aux-kaisnes,19
aubigny-en-laonnois,19
audignicourt,12
audigny,7
augy,4
aulnois-sous-laon,17
autremencourt,13
autreppes,9
autreville,10
azy-sur-marne,13
bagneux,7
bancigny,8
barenton-bugny,14
barenton-cel,12
barenton-sur-serre,18
barisis-aux-bois,16
barzy-en-thierache,18
barzy-sur-marne,15
bassoles-aulers,15
baulne-en-brie,14
bazoches-sur-vesles,19
beaume,6
beaumont-en-beine,17
beaurevoir,10
beaurieux,9
beautor,7
beauvois-en-vermandois,22
becquigny,9
belleau,7
bellenglise,11
belleu,6
bellicourt,10
benay,5
bergues-sur-sambre,18
berlancourt,11
berlise,7
bernot,6
berny-riviere,13
berrieux,8
berry-au-bac,12
bertaucourt-epourdon,20
berthenicourt,13
bertricourt,11
berzy-le-sec,12
besme,5
besmont,7
besny-et-loizy,14
bethancourt-en-vaux,19
beugneux,8
beuvardes,9
bezu-le-guery,13
bezu-saint-germain,18
bichancourt,11
bieuxy,6
bievres,7
billy-sur-aisne,15
billy-sur-ourcq,15
blanzy-les-fismes,17
blerancourt,11
blesmes,7
bohain-en-vermandois,20
bois-les-pargny,15
boncourt,8
bonneil,7
bonnesvalyn,11
bony,4
bosmont-sur-serre,17
bouconville-vauclair,20
boue,4
bouffignereux,13
bouresches,10
bourg-et-comin,14
bourguignon-sous-coucy,22
bourguignon-sous-montbavin,26
braine,6
brancourt-en-laonnois,21
brancourt-le-grand,18
brasles,7
bray-saint-christophe,21
braye,5
braye-en-laonnois,17
braye-en-thierache,18
brecy,5
brenelle,8
breny,5
brie,4
brissay-choigny,15
brissy-hamegicourt,18
brumetz,7
brunehamel,10
bruyeres-et-montberault,23
bruyeres-sur-fere,17
bruys,5
bucilly,7
bucy-le-long,12
bucy-les-cerny,14
bucy-les-pierrepont,19
buire,5
buironfosse,11
burelles,8
bussiares,9
buzancy,7
caillouel-crepigny,18
camelin,7
castres,7
caulaincourt,12
caumont,7
celles-les-conde,16
celles-sur-aisne,16
cerizy,6
cerny-en-laonnois,17
cerny-les-bucy,14
cerseuil,8
cessieres,9
chacrise,8
chaillevois,11
chalandry,9
chambry,7
chamouille,10
champs,6
chaourse,8
charly-sur-marne,16
charmes,7
charteves,9
chassemy,8
chateau-thierry,15
chatillon-les-sons,18
chatillon-sur-oise,18
chaudardes,10
chaudun,7
chauny,6
chavignon,9
chavigny,8
chavonne,8
cheret,6
chermizy-ailles,15
chery-chartreuve,16
chery-les-pouilly,17
chery-les-rozoy,15
chevennes,9
chevregny,9
chevresis-monceau,17
chezy-en-orxois,15
chezy-sur-marne,15
chierry,7
chigny,6
chivres-en-laonnois,19
chivres-val,11
chivy-les-etouvelles,20
chouy,5
cierges,7
cilly,5
ciry-salsogne,13
clacy-et-thierret,17
clairfontaine,13
clamecy,7
clastres,8
clermont-les-fermes,19
coeuvres-et-valsery,19
coincy,6
coingt,6
colligis-crandelain,19
colonfay,8
commenchon,10
concevreux,10
conde-en-brie,13
conde-sur-aisne,15
conde-sur-suippe,16
condren,7
connigis,8
contescourt,11
corbeny,7
corcy,5
coucy-la-ville,14
coucy-le-chateau-auffrique,26
coucy-les-eppes,15
coulonges-cohan,15
coupru,6
courbes,7
courboin,8
courcelles-sur-vesle,20
courchamps,10
courmelles,10
courmont,8
courtemont-varennes,19
courtrizy-et-fussigny,21
couvrelles,10
couvron-et-aumencourt,21
coyolles,8
cramaille,9
craonne,7
craonnelle,10
crecy-au-mont,13
crecy-sur-serre,15
crepy,5
crezancy,8
croix-fonsomme,14
crouttes-sur-marne,18
crouy,5
crupilly,8
cuffies,7
cugny,5
cuirieux,8
cuiry-housse,12
cuiry-les-chaudardes,20
cuiry-les-iviers,16
cuissy-et-geny,14
cuisy-en-almont,15
cutry,5
cys-la-commune,14
dagny-lambercy,14
dallon,6
dammard,7
dampleux,8
danizy,6
dercy,5
deuillet,8
dhuizel,7
dizy-le-gros,12
dohis,5
dolignon,8
dommiers,8
domptin,7
dorengt,7
douchy,6
dravegny,8
droizy,6
dury,4
ebouleau,8
effry,5
englancourt,11
epagny,6
eparcy,6
epaux-bezu,10
epieds,6
eppes,5
erlon,5
erloy,5
esqueheries,11
essigny-le-grand,16
essigny-le-petit,16
essises,7
essomes-sur-marne,17
estrees,7
etampes-sur-marne,17
etaves-et-bocquiaux,19
etouvelles,10
etreaupont,10
etreillers,10
etrepilly,9
etreux,6
evergnicourt,12
faucoucourt,11
faverolles,10
fayet,5
fere-en-tardenois,17
fesmy-le-sart,13
festieux,8
fieulaine,9
filain,6
flavigny-le-grand-et-beaurain,29
flavy-le-martel,15
fleury,6
fluquieres,10
folembray,9
fonsomme,8
fontaine-les-clercs,19
fontaine-les-vervins,20
fontaine-notre-dame,19
fontaine-uterte,15
fontenelle,10
fontenelle-en-brie,18
fontenoy,8
foreste,7
fossoy,6
fourdrain,9
francilly-selency,17
franqueville,12
fresnes,7
fresnes-en-tardenois,20
fresnoy-le-grand,16
fressancourt,12
frieres-faillouel,17
froidestrees,12
froidmont-cohartille,20
gandelu,7
gauchy,6
gercy,5
gergny,6
germaine,8
gernicourt,10
gibercourt,10
gizy,4
gland,5
glennes,7
goudelancourt-les-berrieux,26
goudelancourt-les-pierrepont,28
goussancourt,12
gouy,4
grand-rozoy,11
grand-verly,11
grandlup-et-fay,15
grandrieux,10
gricourt,8
grisolles,9
gronard,7
grougis,7
grugies,7
guignicourt,11
guise,5
guivry,6
guny,4
guyencourt,10
hannapes,8
happencourt,11
haramont,8
harcigny,8
hargicourt,10
harly,5
hartennes-et-taux,17
hary,4
hautevesnes,11
hauteville,10
haution,7
hinacourt,9
hirson,6
holnon,6
homblieres,10
houry,5
housset,7
iron,4
itancourt,9
iviers,6
jaulgonne,9
jeancourt,9
jeantes,7
joncourt,8
jouaignes,9
jumencourt,10
jumigny,7
jussy,5
juvigny,7
juvincourt-et-damary,20
l-epine-aux-bois,16
la-bouteille,12
la-capelle,10
la-celle-sous-montmirail,24
la-chapelle-monthodon,21
la-chapelle-sur-chezy,21
la-croix-sur-ourcq,18
la-fere,7
la-ferte-chevresis,18
la-ferte-milon,14
la-flamengrie,13
la-herie,8
la-malmaison,12
la-neuville-bosmont,19
la-neuville-en-beine,20
la-neuville-housset,19
la-neuville-les-dorengt,23
la-selve,8
