rewrite,gentile_h_ville_impr1,gentile_h_ville_impr2,nomcaractère
ambarroise,Ambarrois,
ambarroise,Ambarrois,
ambleonaise,Ambléonais,
ambrunoise,Ambrunois,
butriane,Butrian,
clafordane,Clafordan,
randaoillarde,Randaoillard,
arandassienne,Arandassien,
arbanaise,Arbanais,
arbignolane,Arbignolan,
arbigneronne,Arbigneron,
argissienne,Argissien,
armixoise,Armixois,
arsoise,Arsois,
artemarienne,Artemarien,
asnieroise,Asniérois,
bagesienne,Bagésien,
bagesienne,Bagésien,
balanaise,Balanais,
athanienne,Athanien,
beaupontoise,Beaupontois,
beauregardienne,Beauregardien,
belignarde,Bélignard,
bellegardienne,Bellegardien,
belleysanne,Belleysan,
belleydousane,Belleydousan,
belmontaise,Belmontais,
benoncarde,Bénonçard,
beneenne,Bénéen,
beonaise,Béonais,
bettaniere,Bettaniers,
begienne,Bégien,
beynolane,Beynolan,
billiatuse,Billiatus,
birotane,Birotan,
biziatie,Biziatis,
blyarde,Blyard,
bolozonnaise,Bolozonnais,
boulignarde,Boulignard,
burgienne,Burgien,
bourtoire,Bourtoirs,
burhine,Burhin,
brenazienne,Brénazien,
brenodienne,Brénodien,
breniarde,Bréniard,
bressollande,Bressollands,
brionnaise,Brionnais,
briolande,Briolands,
buellassienne,Buellassien,
ceigneuse,Ceigneurs,
cerdonnaise,Cerdonnais,
certinoise,Certinois,
cessienne,Cessien,
ceyzeriacoise,Ceyzériacois,
ceyzeriolane,Ceyzériolan,
chalamontaise,Chalamontais,
chalinoise,Chalinois,
chaleysienne,Chaleysien,
chaleenne,Chaléen,
challaisienne,Challaisien,
champenoise,Champenois,
cambotte,Cambot,
champfromerande,Champfromerands,
chanerue,Chanerus,
chaneinoise,Chaneinois,
chanozienne,Chanozien,
chariane,Charian,
charnozienne,Charnozien,
chateaugaillardane,Chateaugaillardan,
chatenaysienne,Chatenaysien,
chatillonnaise,Chatillonnais,
chatillonnaise,Chatillonnais,
chatillonnaise,Châtillonnais,
chavannoise,Chavannois,
chavannaise,Chavannais,
bondolane,Bondolan,
chazeyenne,Chazeyens,
cheignieulate,Cheignieulat,
chevroutie,Chevroutis,
chevryzienne,Chevryzien,
chezerande,Chézerands,
severine,Severin,
cizoise,Cizois,
cleyzolette,Cleyzolets,
colignoise,Colignois,
collongeoise,Collongeois,
colomiarde,Colomiard,
conandaise,Conandais,
condaminoise,Condaminois,
