rewrite,gentile_f_ville,nbre_car
tregorroise,Trégorroise,11
trelevernaise,Trélévernaise,13
trelivannaise,Trélivannaise,13
tremargatoise,Trémargatoise,13
tremeloise,Trémeloise,10
tremeloise,Tréméloise,10
tremereucoise,Tréméreucoise,13
tremeuroise,Trémeuroise,11
tremevenaise,Trémévenaise,12
tremorelaise,Trémorelaise,12
tremusonnaise,Trémusonnaise,13
treoganaise,Tréoganaise,11
tressignaulaise,Tressignaulaise,15
treveenne,Trévéenne,9
treveneucoise,Tréveneucoise,13
treverecoise,Trévérecoise,12
trevousienne,Trévousienne,12
trevronnaise,Trévronnaise,12
trezenienne,Trézénienne,11
trogueroise,Troguéroise,11
uzelaise,Uzelaise,8
vildeenne,Vildéenne,9
yffiniacaise,Yffiniacaise,12
yviasaise,Yviasaise,9
yvignacaise,Yvignacaise,11
ahunoise,Ahunoise,8
ajainoise,Ajainoise,9
anzemoise,Anzêmoise,9
arrenienne,Arrénienne,10
arsoise,Arsoise,7
aubussonnaise,Aubussonnaise,13
augeoise,Augeoise,8
augeroise,Augeroise,9
aulonnaise,Aulonnaise,10
auriate,Auriate,7
auzancaise,Auzançaise,10
azaraise,Azaraise,8
drablezienne,Drablézienne,12
banizoise,Banizoise,9
bavilloise,Bavilloise,10
bazelatoise,Bazelatoise,11
beissatoise,Beissatoise,11
bellegardiere,Bellegardière,13
beneventine,Bénéventine,11
betetoise,Bétêtoise,9
blaudeixoise,Blaudeixoise,12
blessacoise,Blessacoise,11
bonnachonne,Bonnachonne,11
bosmoroise,Bosmoroise,10
bourgouniaude,Bourgouniaude,13
boussacoise,Boussacoise,11
boussaquine,Boussaquine,11
budelieroise,Budeliéroise,12
bussieroise,Bussièroise,11
bussieroise,Bussiéroise,11
chambonnaise,Chambonnaise,12
chamboncheroise,Chambonchéroise,15
champagnatoise,Champagnatoise,14
charronnaise,Charronnaise,12
castelmarchoise,Castelmarchoise,15
castellucienne,Castellucienne,14
chavanataise,Chavanataise,12
cheneraillaise,Chénéraillaise,14
chenieroise,Chénieroise,11
clairavaloise,Clairavaloise,13
clugnatoise,Clugnatoise,11
colondannoise,Colondannoise,13
cressatoise,Cressatoise,11
croquante,Croquante,9
crozantaise,Crozantaise,11
crozoise,Crozoise,8
domeyratoise,Domeyratoise,12
dontreixienne,Dontreixienne,13
dunoise,Dunoise,7
evahonienne,Evahonienne,11
falloise,Falloise,8
felletinoise,Felletinoise,12
feniere,Fénière,7
flayatoise,Flayatoise,10
fleuratoise,Fleuratoise,11
fransechoise,Franséchoise,12
fresselinoise,Fresselinoise,13
gartempoise,Gartempoise,11
genouillacoise,Genouillacoise,14
glenicoise,Glénicoise,10
gouzonnaise,Gouzonnaise,11
gueretoise,Guérétoise,10
issoldunoise,Issoldunoise,12
jaleschoise,Jaleschoise,11
jarnagelle,Jarnagelle,10
jouillatoise,Jouillatoise,12
brionnaise,Brionnaise,10
celloise,Celloise,8
chapelloise,Chapelloise,11
chapelaude,Chapelaude,10
chaussadoise,Chaussadoise,12
courtinoise,Courtinoise,11
forestiere,Forestière,10
nouaillaude,Nouaillaude,11
sauniereuse,Saunièreuse,11
sostranienne,Sostranienne,12
villeneuvoise,Villeneuvoise,13
villetelloise,Villetelloise,13
ladapeyroise,Ladapeyroise,12
lafatoise,Lafatoise,9
lavaufranchaise,Lavaufranchaise,15
chauchetoise,Chauchetoise,12
compassienne,Compassienne,12
donzeilloise,Donzeilloise,12
grand-bourgeoise,Grand-Bourgeoise,16
mas-d-artigeoise,Mas-d'Artigeoise,16
monteilloise,Monteilloise,12
espinassou,Espinassou,10
marsienne,Marsienne,9
leyratoise,Leyratoise,10
linardoise,Linardoise,10
lizieroise,Liziéroise,10
lourdoueisienne,Lourdoueisienne,15
lupersatoise,Lupersatoise,12
lussatoise,Lussatoise,10
magnatoise,Magnatoise,10
mainsatoise,Mainsatoise,11
maison-feynoise,Maison-Feynoise,15
maisonnissale,Maisonnissale,13
malleretoise,Malleretoise,12
malleretoise,Mallerétoise,12
marsacoise,Marsacoise,10
masbarautine,Masbarautine,12
mautoise,Mautoise,8
mazeiratoise,Mazeiratoise,12
measnoise,Méasnoise,9
merinchaloise,Mérinchaloise,13
montagutine,Montagutine,11
morterolaise,Morterolaise,12
moutierotte,Moutiérotte,11
moutier-rozeillaise,Moutier-Rozeillaise,19
naillatoise,Naillatoise,11
neovienne,Néovienne,9
nothoise,Nothoise,8
nouhantaise,Nouhantaise,11
nouzerinoise,Nouzerinoise,12
nouzerolloise,Nouzerolloise,13
nouzieroise,Nouziéroise,11
parsacoise,Parsacoise,10
peyrabounaude,Peyrabounaude,13
peyratoise,Peyratoise,10
pierrefittoise,Pierrefittoise,14
pionnatoise,Pionnatoise,11
pontarionnaise,Pontarionnaise,14
poussangeoise,Poussangeoise,13
reterroise,Reterroise,10
rochoise,Rochoise,8
rougnatoise,Rougnatoise,11
versillacoise,Versillacoise,13
saint-agnantaise,Saint-Agnantaise,16
saint-amandaise,Saint-Amandaise,15
capresienne,Caprésienne,11
leyrennoise,Leyrennoise,11
fursacoise,Fursacoise,10
fidelienne,Fidélienne,10
saint-germanoise,Saint-Germanoise,16
gonsaldienne,Gonsaldienne,12
saint-laurentaise,Saint-Laurentaise,17
brideroise,Brideroise,10
saint-mauricienne,Saint-Mauricienne,17
rochettoise,Rochettoise,11
meardienne,Méardienne,10
saintmichelote,Saintmichelote,14
furracoise,Furracoise,10
baracat,Baracat,7
saint-quentinaise,Saint-Quentinaise,17
sebastienoise,Sébastienoise,13
baslerocoise,Baslerocoise,12
sulpicienne,Sulpicienne,11
saint-sulpicoise,Saint-Sulpiçoise,16
saint-valerienne,Saint-Valérienne,16
aredienne,Arédienne,9
saint-feyroise,Saint-Feyroise,14
saint-symphorienne,Saint-Symphorienne,18
sannatoise,Sannatoise,10
sardentaise,Sardentaise,11
sermuroise,Sermuroise,10
soumanaise,Soumanaise,10
tardaise,Tardaise,8
tercillatoise,Tercillatoise,13
thauronnaise,Thauronnaise,12
toulloise,Toulloise,9
trifontine,Trifontine,10
vallieroise,Valliéroise,11
vareilloise,Vareilloise,11
vidaillate,Vidaillate,10
viersatoise,Viersatoise,11
villardoise,Villardoise,11
abjacoise,Abjacoise,9
agonacoise,Agonacoise,10
ajacoise,Ajacoise,8
allacoise,Allacoise,9
allemansoise,Allemansoise,12
angoissaise,Angoissaise,11
anlhiacoise,Anlhiacoise,11
annessoise,Annessoise,10
antonnaise,Antonnaise,10
archignacoise,Archignacoise,13
aturienne,Aturienne,9
aubasine,Aubasine,8
audrixoise,Audrixoise,10
auginacoise,Auginacoise,11
auriacoise,Auriacoise,10
azeracoise,Azeracoise,10
badefolaise,Badefolaise,11
badefoloise,Badefoloise,11
baneuillaise,Baneuillaise,12
barsoise,Barsoise,8
bassillacoise,Bassillacoise,13
bayacoise,Bayacoise,9
beaumontoise,Beaumontoise,12
bellipodoise,Bellipodoise,12
beauregardienne,Beauregardienne,15
beauregarde,Beauregarde,11
beauronnaise,Beauronnaise,12
beaussacoise,Beaussacoise,12
belvesoise,Belvésoise,10
berbiguieroise,Berbiguiéroise,14
bergeracoise,Bergeracoise,12
bertricoise,Bertricoise,11
bessoise,Bessoise,8
bezenacoise,Bézenacoise,11
biracoise,Biracoise,9
blis-et-bornoise,Blis-et-Bornoise,16
boisseuilhaise,Boisseuilhaise,14
bonnevilloise,Bonnevilloise,13
borrezienne,Borrèzienne,11
bossetoise,Bossetoise,10
bouillacoise,Bouillacoise,12
boulazacoise,Boulazacoise,12
bouniaguaise,Bouniaguaise,12
bourdeillaise,Bourdeillaise,13
bourgnacoise,Bourgnacoise,12
bourniqueloise,Bourniqueloise,14
bourrounaise,Bourrounaise,12
bouzicoise,Bouzicoise,10
brantomaise,Brantômaise,11
breuilhoise,Breuilhoise,11
brouchaudoise,Brouchaudoise,13
busserollaise,Busserollaise,13
bussieroise,Bussiéroise,11
calesienne,Calésienne,10
calviacoise,Calviacoise,11
campagnacoise,Campagnacoise,13
campagnarde,Campagnarde,11
campsegretoise,Campsegretoise,14
cantillacoise,Cantillacoise,13
capdrotienne,Capdrotienne,12
carlucienne,Carlucienne,11
carsacoise,Carsacoise,10
carsacoise,Carsacoise,10
carvesoise,Carvésoise,10
castelnaudezienne,Castelnaudézienne,17
casteloise,Casteloise,10
cleranaise,Cléranaise,10
cazoulesienne,Cazoulésienne,13
celloise,Celloise,8
cenacoise,Cenacoise,9
cendrieucoise,Cendrieucoise,13
chalagnacoise,Chalagnacoise,13
chalaisienne,Chalaisienne,12
champagnacoise,Champagnacoise,14
champcevinelloise,Champcevinelloise,17
chanceladaise,Chanceladaise,13
chanteracoise,Chanteracoise,13
chapdeuillotte,Chapdeuillotte,14
castelevequoise,Castélevéquoise,15
chatriere,Châtrière,9
chavagnacoise,Chavagnacoise,13
chervalaise,Chervalaise,11
cladechoise,Cladéchoise,11
clermontoise,Clermontoise,12
colynoise,Colynoise,9
condatoise,Condatoise,10
condatoise,Condatoise,10
corgnacoise,Corgnacoise,11
coubjouroise,Coubjouroise,12
coulauroise,Coulauroise,11
colomnieroise,Colomnieroise,13
cours-de-piloise,Cours-de-Piloise,16
coursacoise,Coursacoise,11
couxoise,Couxoise,8
couzote,Couzote,7
creyssoise,Creyssoise,10
creyssensacoise,Creyssensacoise,15
cubjacoise,Cubjacoise,10
cunegeoise,Cunégeoise,10
daglanaise,Daglanaise,10
doissacoise,Doissacoise,11
dommoise,Dommoise,8
douchaptoise,Douchaptoise,12
douvilloise,Douvilloise,11
douzillacoise,Douzillacoise,13
dussacoise,Dussacoise,10
echourgnacoise,Echourgnacoise,14
neuveglisienne,Neuveglisienne,14
etouardaise,Etouardaise,11
excideuillaise,Excideuillaise,14
eyliacoise,Eyliacoise,10
eymetoise,Eymétoise,9
eyzeracoise,Eyzeracoise,11
fanlacoise,Fanlacoise,10
falloise,Falloise,8
festalinoise,Festalinoise,12
firbexoise,Firbexoise,10
flaugeacoise,Flaugeacoise,12
fleuracoise,Fleuracoise,11
florimontoise,Florimontoise,13
fonroquoise,Fonroquoise,11
fossemagnacoise,Fossemagnacoise,15
fougueyrollaise,Fougueyrollaise,15
fouleixoise,Fouleixoise,11
fraissoise,Fraissoise,10
gageacoise,Gageacoise,10
gardonnaise,Gardonnaise,11
genissoise,Génissoise,10
ginestoise,Ginestoise,10
grand-brassacoise,Grand-Brassacoise,17
grangeoise,Grangeoise,10
grezoise,Grézoise,8
grignolaise,Grignolaise,11
grivoise,Grivoise,8
grolejacoise,Groléjacoise,12
grun-bordasienne,Grun-Bordasienne,16
hautefortaise,Hautefortaise,13
issacoise,Issacoise,9
issigeacoise,Issigeacoise,12
javerlhacoise,Javerlhacoise,13
jayacoise,Jayacoise,9
journiacoise,Journiacoise,12
jumilhacoise,Jumilhacoise,12
bacheliere,Bachelière,10
boissierienne,Boissièrienne,13
chapelloise,Chapelloise,11
chapelloise,Chapelloise,11
chapeloise,Chapeloise,10
coquillarde,Coquillarde,11
ladornacoise,Ladornacoise,12
ladouzoise,Ladouzoise,10
feuilladaise,Feuilladaise,12
forcelaise,Forcelaise,10
rochechalaisienne,Rochechalaisienne,17
laroquoise,Laroquoise,10
labouquerroise,Labouquerroise,14
lacroptoise,Lacroptoise,11
lindoise,Lindoise,8
lamonzienne,Lamonzienne,11
lamonzienne,Lamonzienne,11
lanquaisienne,Lanquaisienne,13
larzacoise,Larzacoise,10
vaureenne,Vauréenne,9
buguoise,Buguoise,8
fleixoise,Fleixoise,9
vezerienne,Vézerienne,10
pizounaise,Pizounaise,10
leguillacoise,Leguillacoise,13
eyzicoise,Eyzicoise,9
fargienne,Fargienne,9
lechoise,Léchoise,8
ligurienne,Ligurienne,10
limeuilloise,Limeuilloise,12
limeyratoise,Limeyratoise,12
lioracoise,Lioracoise,10
lisloise,Lisloise,8
lolmoise,Lolmoise,8
loubejacoise,Loubéjacoise,12
lunasienne,Lunasienne,10
lusignacoise,Lusignacoise,12
manaurienne,Manaurienne,11
manzacoise,Manzacoise,10
marcillaquoise,Marcillaquoise,14
mareuillaise,Mareuillaise,12
marnacoise,Marnacoise,10
marquayaise,Marquayaise,11
marsacoise,Marsacoise,10
marsalesoise,Marsalesoise,12
maurencoise,Maurençoise,11
mauzacoise,Mauzacoise,10
mauzencoise,Mauzencoise,11
mayacoise,Mayacoise,9
mazeyrollaise,Mazeyrollaise,13
menesplesienne,Ménesplesienne,14
mensignacoise,Mensignacoise,13
mescouloise,Mescouloise,11
meyralaise,Meyralaise,10
mialletaise,Mialletaise,11
milhacoise,Milhacoise,10
milhacoise,Milhacoise,10
minzacoise,Minzacoise,10
moleroise,Molèroise,9
monbazillacoise,Monbazillacoise,15
monpazieroise,Monpaziéroise,13
monplaisanaise,Monplaisanaise,14
monsacoise,Monsacoise,10
montagnacoise,Montagnacoise,13
agresienne,Agrésienne,10
montazelaise,Montazelaise,12
montcaretoise,Montcaretoise,13
montferrandaise,Montferrandaise,15
montignacoise,Montignacoise,13
montpeyrounnaise,Montpeyrounnaise,16
montponnaise,Montponnaise,12
montleyderienne,Montleydérienne,15
moulinovienne,Moulinovienne,13
mouzencoise,Mouzencoise,11
mussidanaise,Mussidanaise,12
nabiracoise,Nabiracoise,11
nadaillacoise,Nadaillacoise,13
nailhacoise,Nailhacoise,11
nanthiacoise,Nanthiaçoise,12
naussannaise,Naussannaise,12
negrondaise,Négrondaise,11
neuvicoise,Neuvicoise,10
nontronnaise,Nontronnaise,12
sanilhacoise,Sanilhacoise,12
orliacoise,Orliacoise,10
orliaguaise,Orliaguaise,11
parcouloise,Parcouloise,11
paulinoise,Paulinoise,10
paunatoise,Paunatoise,10
payzacoise,Payzacoise,10
pazayacoise,Pazayacoise,11
petrocorienne,Pétrocorienne,13
bersacoise,Bersacoise,10
peyrignacoise,Peyrignacoise,13
peyrillacoise,Peyrillacoise,13
peyzacoise,Peyzacoise,10
piegutaine,Piégutaine,10
plaisanciere,Plaisancière,12
plazacoise,Plazacoise,10
pomportoise,Pomportoise,11
pontouroise,Pontouroise,11
port-foyenne,Port-Foyenne,12
pradine,Pradine,7
pradoise,Pradoise,8
pressignaco-vicoise,Pressignaco-Vicoise,19
prigontine,Prigontine,10
proissanaise,Proissanaise,12
queyssacoise,Queyssacoise,12
quinsacoise,Quinsacoise,11
rampieusoise,Rampieusoise,12
razacoise,Razacoise,9
razacoise,Razacoise,9
razacoise,Razacoise,9
ribagnacoise,Ribagnacoise,12
riberacoise,Ribéracoise,11
rouffignacoise,Rouffignacoise,14
rouffignacoise,Rouffignacoise,14
sagelacoise,Sagelacoise,11
agnolaise,Agnolaise,9
saint-amandine,Saint-Amandine,14
saint-amandinoise,Saint-Amandinoise,17
andresienne,Andrésienne,11
saint-antonnaise,Saint-Antonnaise,16
saint-antoinaise,Saint-Antoinaise,16
asterienne,Astérienne,10
saint-aubinoise,Saint-Aubinoise,15
saint-albinoise,Saint-Albinoise,15
eulalienne,Eulalienne,10
saint-avitoise,Saint-Avitoise,14
capraisienne,Capraisienne,12
cerninoise,Cerninoise,10
eumacoise,Eumacoise,9
saint-cirquoise,Saint-Cirquoise,15
saint-crepinoise,Saint-Crépinoise,16
saint-crepinoise,Saint-Crépinoise,16
cypriote,Cypriote,8
saint-cyrienne,Saint-Cyrienne,14
saint-estephoise,Saint-Estéphoise,16
saintfronnaise,Saintfronnaise,14
saint-frontaise,Saint-Frontaise,15
saint-frontoise,Saint-Frontoise,15
saint-genoise,Saint-Genoise,13
saint-germinoise,Saint-Germinoise,16
salembraise,Salembraise,11
saint-hilairoise,Saint-Hilairoise,16
saint-jean-d-eyroise,Saint-Jean-d'Eyroise,20
jean-coloise,Jean-Côloise,12
saint-georgienne,"Saint Georgienne",16
lasblouxjorienne,Lasblouxjorienne,16
saint-julienoise,Saint-Juliénoise,16
saint-julienoise,Saint-Julienoise,16
lamponaise,Lamponaise,10
saint-laurentaise,Saint-Laurentaise,17
saint-laurentaise,Saint-Laurentaise,17
saint-laurentaise,Saint-Laurentaise,17
saint-leonnaise,Saint-Léonnaise,15
saint-leonnaise,Saint-Léonnaise,15
ludovicienne,Ludovicienne,12
saint-marceloise,Saint-Marceloise,16
albaredienne,Albarédienne,12
saint-martialaise,Saint-Martialaise,17
saint-martialaise,Saint-Martialaise,17
saint-martialaise,Saint-Martialaise,17
saint-martinaise,Saint-Martinaise,16
saint-martine,Saint-Martine,13
saint-maymoise,Saint-Maymoise,14
saint-mearoise,Saint-Méaroise,14
saint-mesminoise,Saint-Mesminoise,16
montaignoise,Montaignoise,12
saint-michelloise,Saint-Michelloise,17
saint-nexantaise,Saint-Nexantaise,16
saint-pantaleonne,Saint-Pantaléonne,17
parfuldienne,Parfuldienne,12
spardocienne,Spardocienne,12
saint-pauloise,Saint-Pauloise,14
saint-pauloise,Saint-Pauloise,14
pierrotine,Pierrotine,10
chignacoise,Chignacoise,11
petrus-colienne,Pétrus-Colienne,15
saint-pomponnaise,Saint-Pomponnaise,17
risperienne,Rispérienne,11
saint-raphaeloise,Saint-Raphaëloise,17
saint-remoise,Saint-Rémoise,13
romaniclementienne,Romaniclémentienne,18
saint-saudoise,Saint-Saudoise,14
salvadorienne,Salvadorienne,13
saint-sauveurienne,Saint-Sauveurienne,18
saint-seurinoise,Saint-Seurinoise,16
saint-victorienne,Saint-Victorienne,17
connezacoise,Connezacoise,12
vinecossoise,Vinecossoise,12
saint-vincenaise,Saint-Vincenaise,16
alveroise,Alvèroise,9
eulalaise,Eulalaise,9
sainte-foyenne,Sainte-Foyenne,14
mondanaise,Mondanaise,10
nadalenoise,Nadalénoise,11
saint-orsaise,Saint-Orsaise,13
saint-sabinoise,Saint-Sabinoise,15
saint-trojannaise,Saint-Trojannaise,17
salagnacoise,Salagnacoise,12
salignacoise,Salignacoise,12
salesoise,Salésoise,9
salonaise,Salonaise,9
sarlandaise,Sarlandaise,11
sarladaise,Sarladaise,10
sarliacoise,Sarliacoise,11
sarrazacoise,Sarrazacoise,12
saussignacoise,Saussignacoise,14
savignacoise,Savignacoise,12
savignacoise,Savignacoise,12
savignacoise,Savignacoise,12
segonzacoise,Segonzacoise,12
podofocadienne,Podofocadienne,14
sergeacoise,Sergeacoise,11
sigoulesienne,Sigoulésienne,13
simeyrolaise,Simeyrolaise,12
singleyracoise,Singleyracoise,14
sioracoise,Sioracoise,10
sioracoise,Sioracoise,10
sorgeaise,Sorgeaise,9
sourzacoise,Sourzacoise,11
tamniacoise,Tamniacoise,11
teillotoise,Teillotoise,11
templiere,Templière,9
terrassonnaise,Terrassonnaise,14
teyjatoise,Teyjatoise,10
thenacaise,Thénacaise,10
thenonnaise,Thenonnaise,11
thiberienne,Thibérienne,11
thonacoise,Thonacoise,10
tocanaise,Tocanaise,9
tourtoiracaise,Tourtoiracaise,14
trelissacoise,Trélissacoise,13
tremolacoise,Trémolacoise,12
tursacoise,Tursacoise,10
urvalaise,Urvalaise,9
valeuillaise,Valeuillaise,12
valleroise,Valleroise,10
vanxinoise,Vanxinoise,10
varaignaude,Varaignaude,11
vaunacoise,Vaunacoise,10
velinoise,Vélinoise,9
vendoirienne,Vendoirienne,12
vernoise,Vernoise,8
vernoise,Vernoise,8
verteillacoise,Verteillacoise,14
veyrignacoise,Veyrignacoise,13
veyrinoise,Veyrinoise,10
veyrinoise,Veyrinoise,10
vezacoise,Vézacoise,9
vieux-mareuillaise,Vieux-Mareuillaise,18
villacoise,Villacoise,10
villamblardaise,Villamblardaise,15
villarsaise,Villarsaise,11
villefranchoise,Villefranchoise,15
villefranchoise,Villefranchoise,15
villetoureicoise,Villetoureicoise,16
vitracoise,Vitracoise,10
abbanaise,Abbanaise,9
abbanaise,Abbanaise,9
abbenanaise,Abbenanaise,11
adam,Adam,4
tyintiere,Tyintière,9
allenjoyeuse,Allenjoyeuse,12
amondanaise,Amondanaise,11
magnoulotte,Magnoulotte,11
amanceenne,Amancéenne,10
amondanaise,Amondanaise,11
anteuilloise,Anteuilloise,12
appenan,Appenan,7
ours,Ours,4
arquillonne,Arquillonne,11
cailleuse,Cailleuse,9
arguelienne,Arguelienne,11
albonnaise,Albonnaise,10
audelaise,Audelaise,9
audincourtoise,Audincourtoise,14
autechalienne,Autechalienne,13
avannaise,Avannaise,9
badevelloise,Badevelloise,12
bandrayarde,Bandrayarde,11
bartoise,Bartoise,8
battenane,Battenane,9
baumoise,Baumoise,8
bavanaise,Bavanaise,9
belvisie,Belvisie,8
berchoise,Berchoise,9
berthelangeaise,Berthelangeaise,15
bisontine,Bisontine,9
bethoncourtoise,Béthoncourtoise,15
beurote,Beurote,7
gravalonne,Gravalonne,10
bannaise,Bannaise,8
biee,Biée,4
blamontaise,Blamontaise,11
bolotte,Bolotte,7
blussannoise,Blussannoise,12
bolandozienne,Bolandozienne,13
bonnaysienne,Bonnaysienne,12
bonnevalienne,Bonnevalienne,13
bonvallaise,Bonvallaise,11
bouclanaise,Bouclanaise,11
boujaillonne,Boujaillonne,12
bourguignonne,Bourguignonne,13
boussieroise,Boussiéroise,12
vaironne,Vaironne,8
braillannaise,Braillannaise,13
brannoise,Brannoise,9
brerote,Brérote,7
bretignie,Bretignie,9
les-cabas,"Les Cabas",9
brognardaise,Brognardaise,12
bullarde,Bullarde,8
burgilloise,Burgilloise,11
benevelas,Benevelas,9
byannaise,Byannaise,9
cademeniere,Cademénière,11
fourmie,Fourmie,7
cessoise,Cessoise,8
chaffoyarde,Chaffoyarde,11
chalezienne,Chalézienne,11
chalezeuloise,Chalezeuloise,13
chamesoloise,Chamesoloise,12
champagnoulaise,Champagnoulaise,15
champlivaise,Champlivaise,12
champvantiere,Champvantière,13
chantranaise,Chantranaise,12
chapeline,Chapeline,9
chapelande,Chapelande,10
charmoillote,Charmoillote,12
chanettiere,Chanettière,11
charquemontoise,Charquemontoise,15
chassagniere,Chassagnière,12
castelblancienne,Castelblancienne,16
chatillonnaise,Châtillonnaise,14
chatillonnaise,Châtillonnaise,14
chaucennoise,Chaucennoise,12
caldifontaine,Caldifontaine,13
calcinoise,Calcinoise,10
chauniere,Chaunière,9
chaillerote,Chaillerote,11
chazote,Chazote,7
chemaudinoise,Chemaudinoise,13
gremecie,Gremecie,8
chevignolaise,Chevignolaise,13
chevrotine,Chevrotine,10
chouzeloise,Chouzeloise,11
cleronaise,Cléronaise,10
clervaloise,Clervaloise,11
cros,Cros,4
maurisoise,Maurisoise,10
courcelloise,Courcelloise,12
courcelloise,Courcelloise,12
courchaponnaise,Courchaponnaise,15
couviras,Couviras,8
crosey,Crosey,6
croseliere,Croselière,10
niaude,Niaude,6
cubriau,Cubriau,7
vauliere,Vaulière,8
cusseyloise,Cusseyloise,11
cussetoise,Cussetoise,10
dambelinoise,Dambelinoise,12
dambenoisienne,Dambenoisienne,14
templinoise,Templinoise,11
dampierroise,Dampierroise,12
dampierroise,Dampierroise,12
dampricharde,Dampricharde,12
dasloise,Dasloise,8
deluzienne,Deluzienne,10
desandanaise,Désandanaise,12
desevlas,Desevlas,8
develcoise,Develçoise,10
dommartinoise,Dommartinoise,13
piroularde,Piroularde,10
domprelloise,Domprelloise,12
doubsienne,Doubsienne,10
cobie,Cobie,5
durnoise,Durnoise,8
coucou,Coucou,6
loup,Loup,4
echevannaise,Echevannaise,12
ecovalienne,Ecovalienne,11
escotaise,Escotaise,9
emagnynaise,Emagnynaise,11
spinosienne,Spinosienne,11
spinoyenne,Spinoyenne,10
estalanaise,Estalanaise,11
etouvanne,Étouvanne,9
etrabonnaise,Etrabonnaise,12
erbatonne,Erbatonne,9
exincourtoise,Exincourtoise,13
eyssonaise,Eyssonaise,10
faimbiere,Faimbière,9
fallerane,Fallerane,9
ferrieroise,Ferrièroise,11
fertanaise,Fertanaise,10
feschoise,Feschoise,9
fessevillageoise,Fessevillageoise,16
fontainoise,Fontainoise,11
fontenelienne,Fontenelienne,13
fontenottiere,Fontenottière,13
foucheranaise,Foucheranaise,13
fourbanniere,Fourbannière,12
fournette,Fournette,9
franeysienne,Franeysienne,12
franoisienne,Franoisienne,12
frasnoise,Frasnoise,9
fuanaise,Fuanaise,8
alounier,Alounier,8
gemonvaloise,Gémonvaloise,12
geneuilloise,Geneuilloise,12
genniere,Gennière,8
germefontaine,Germéfontaine,13
germondanaise,Germondanaise,13
gilloise,Gilloise,8
glamondaise,Glamondaise,11
liaise,Liaise,6
gonsanaise,Gonsanaise,10
charmontaise,Charmontaise,12
grandifontaine,Grandifontaine,14
grangearde,Grangearde,10
grosboisienne,Grosboisienne,13
guillonnaise,Guillonnaise,12
hautchatelpierroise,Hautchatelpierroise,19
herimoncourtoise,Hérimoncourtoise,16
hostasienne,Hostasienne,11
hyemondane,Hyémondane,10
hyevroise,Hyèvroise,9
joutereyse,Joutereyse,10
jougnarde,Jougnarde,9
grosboisienne,Grosboisienne,13
lieffroise,Lieffroise,10
l-isloise,L'Isloise,9
bossette,Bossette,8
clusienne,Clusienne,9
revicarde,Revicarde,9
sommetta,Sommetta,8
veziere,Vézière,7
abergeuse,Abergeuse,9
niaude,Niaude,6
laisseenne,Laisséenne,10
lantennoise,Lantennoise,11
larnodienne,Larnodienne,11
lavans-quingeoise,Lavans-Quingeoise,17
lavanaise,Lavanaise,9
lavernoise,Lavernoise,10
lavironaise,Lavironaise,11
gayote,Gayote,6
crouzatiere,Crouzatière,11
luhieroise,Luhieroise,10
moutherotee,Moutherotée,11
puylote,Puylote,7
russeenne,Russéenne,9
finoise,Finoise,7
fontenelloise,Fontenelloise,13
bourrie,Bourrie,7
tiercelette,Tiercelette,11
rosillarde,Rosillarde,10
trouille-bourreau,Trouille-Bourreau,17
pontessienne,Pontessienne,12
levitienne,Levitienne,10
liesloise,Liesloise,9
lizinoise,Lizinoise,9
lodoise,Lodoise,7
lombardienne,Lombardienne,12
lomoniere,Lomonière,9
longemaisonaise,Longemaisonaise,15
longevelloise,Longevelloise,13
longevilloise,Longevilloise,13
b-sachard,B'sachard,9
loraitine,Loraitine,9
lougroise,Lougroise,9
luxiolienne,Luxiolienne,11
maichoise,Maîchoise,9
saugette,Saugette,8
malanaise,Malanaise,9
malbranaise,Malbranaise,11
malbuissonnaise,Malbuissonnaise,15
mamirollaise,Mamirollaise,12
moblotte,Moblotte,8
mandubienne,Mandubienne,11
marchalienne,Marchalienne,12
matheenne,Mathéenne,9
mazerollaise,Mazerollaise,12
grandmercoise,Grandmerçoise,13
meyrimontoise,Meyrimontoise,13
meslieroise,Meslièroise,11
taquine,Taquine,7
chats-gris,Chats-Gris,10
miseroulette,Miseroulette,12
monceenne,Moncéenne,9
monclalee,Monclalée,9
montbeliardaise,Montbéliardaise,15
saugette,Saugette,8
echeroumontaine,Echeroumontaine,15
montenoise,Montenoise,10
montfauconaise,Montfauconaise,14
saugeaise,Saugeaise,9
montgesoyenne,Montgesoyenne,13
montivernageoise,Montivernageoise,16
belmontoise,Belmontoise,11
rlavouse,Rlavouse,8
castelmontoise,Castelmontoise,14
morriere,Morrière,8
mortuacienne,Mortuacienne,12
meuthiarde,Meuthiarde,10
guillouse,Guillouse,9
myonnaise,Myonnaise,9
nancreenne,Nancréenne,10
nanaise,Nanaise,7
nanaise,Nanaise,7
nodoise,Nodoise,7
grelotte,Grélotte,8
noirifontaine,Noirifontaine,13
nirontaise,Nirontaise,10
foyenne,Foyenne,7
novillaroise,Novillaroise,12
ollanaise,Ollanaise,9
onanaise,Onanaise,8
oricampienne,Oricampienne,12
ornanaise,Ornanaise,9
oussotte,Oussotte,8
osselloise,Osselloise,10
louve-blanche,"Louve blanche",13
palisienne,Palisienne,10
paroitonne,Paroitonne,10
passinoise,Passinoise,10
pelouseenne,Pelouséenne,11
pessantiere,Pessantière,11
petites-chaulienne,Petites-Chaulienne,18
petrofontanienne,Pétrofontanienne,16
