rewrite,gentile_f_ville,nbre_car
neuvilloise,Neuvilloise,11
neyrolande,Neyrolande,10
neyrolande,Neyrolande,10
onciolane,Onciolane,9
ordonnaxienne,Ordonnaxienne,13
ornesienne,Ornésienne,10
trioline,Trioline,8
oyonnaxienne,Oyonnaxienne,12
parcevine,Parcevine,9
parverane,Parverane,9
peronnaise,Péronnaise,10
peronnassienne,Péronnassienne,14
perougienne,Pérougienne,11
perrexienne,Perrexienne,11
peyriatie,Peyriatie,9
peyriolane,Peyriolane,10
pieziacoise,Piéziacoise,11
pirajellienne,Pirajellienne,13
pizolande,Pizolande,9
plagnarde,Plagnarde,9
polliatie,Polliatie,9
pollieutante,Pollieutante,12
poncinoise,Poncinoise,10
pondinoise,Pondinoise,10
pontevalloise,Pontevalloise,13
pont-de-veyloise,Pont-de-Veyloise,16
bedouine,Bédouine,8
pougnerande,Pougnerande,11
pouillatie,Pouillatie,10
premeyzelane,Prémeyzélane,12
pennonne,Pennonne,8
pressiatie,Pressiatie,10
premoennoise,Prémoënnoise,12
priaysienne,Priaysienne,11
pugiolane,Pugiolane,9
ramassarde,Ramassarde,10
ranceenne,Rancéenne,9
replongearde,Replongearde,12
rebennienne,Rebennienne,11
talanconnaise,Talançonnaise,13
reyssoulie,Reyssoulie,10
rignarde,Rignarde,8
rossillonnaise,Rossillonnaise,14
ruffiolane,Ruffiolane,10
bagesienne,Bagésienne,10
corcienne,Corcienne,9
benoitienne,Benoitienne,11
spinosienne,Spinosienne,11
sansoliane,Sansoliane,10
saint-cyrienne,Saint-Cyrienne,14
san-denienne,San-Denienne,12
sandenienne,Sandenienne,11
desiderienne,Désidérienne,12
desiderienne,Désidérienne,12
desiderienne,Désidérienne,12
santaloine,Santaloine,10
stephanoise,Stéphanoise,11
stephanoise,Stéphanoise,11
saint-genesienne,Saint-Genésienne,16
san-germinoise,San-Germinoise,14
saint-germinoise,Saint-Germinoise,16
gonvilloise,Gonvilloise,11
buyatine,Buyatine,8
thurignacienne,Thurignacienne,14
juliveyloise,Juliveyloise,12
saint-laurentine,Saint-Laurentine,16
marcellinoise,Marcellinoise,13
saint-martenante,Saint-Martenante,16
san-martinoise,San-Martinoise,14
saint-martinoise,Saint-Martinoise,16
mauricienne,Mauricienne,11
remensoise,Rémensoise,10
varaxoise,Varaxoise,9
rambertoise,Rambertoise,11
sanrimoise,Sanrimoise,10
saint-sorlinoise,Saint-Sorlinoise,16
trivicourtoise,Trivicourtoise,14
utingeoise,Utingeoise,10
villibadoise,Villibadoise,12
saint-cruzienne,Saint-Cruzienne,15
euphemienne,Euphémienne,11
samognatie,Samognatie,10
sandranaise,Sandranaise,11
sauvernienne,Sauvernienne,12
segnerande,Segnerande,10
sergienne,Sergienne,9
sermoyarde,Sermoyarde,10
serrieroise,Serrièroise,11
servassienne,Servassienne,12
seysselane,Seysselane,10
simandrine,Simandrine,10
songiolane,Songiolane,10
souclinoise,Souclinoise,11
surdiolane,Surdiolane,10
tarcholande,Tarcholande,11
tenaysienne,Tenaysienne,11
thiloise,Thiloise,8
thoirysienne,Thoirysienne,12
thoisseyenne,Thoisseyenne,12
torciolane,Torciolane,10
tossiatie,Tossiatie,9
toussinoise,Toussinoise,11
tramoyenne,Tramoyenne,10
treffortoise,Treffortoise,12
trevoltienne,Trévoltienne,12
varambonnaise,Varambonnaise,13
