rewrite,gentile_f_ville
san-denienne,San-Denienne
sandenienne,Sandenienne
desiderienne,Désidérienne
desiderienne,Désidérienne
desiderienne,Désidérienne
santaloine,Santaloine
stephanoise,Stéphanoise
stephanoise,Stéphanoise
saint-genesienne,Saint-Genésienne
san-germinoise,San-Germinoise
saint-germinoise,Saint-Germinoise
gonvilloise,Gonvilloise
buyatine,Buyatine
thurignacienne,Thurignacienne
juliveyloise,Juliveyloise
saint-laurentine,Saint-Laurentine
marcellinoise,Marcellinoise
saint-martenante,Saint-Martenante
san-martinoise,San-Martinoise
saint-martinoise,Saint-Martinoise
mauricienne,Mauricienne
remensoise,Rémensoise
varaxoise,Varaxoise
rambertoise,Rambertoise
sanrimoise,Sanrimoise
saint-sorlinoise,Saint-Sorlinoise
trivicourtoise,Trivicourtoise
utingeoise,Utingeoise
villibadoise,Villibadoise
saint-cruzienne,Saint-Cruzienne
euphemienne,Euphémienne
sandranaise,Sandranaise
sauvernienne,Sauvernienne
segnerande,Segnerande
sergienne,Sergienne
sermoyarde,Sermoyarde
serrieroise,Serrièroise
servassienne,Servassienne
seysselane,Seysselane
simandrine,Simandrine
songiolane,Songiolane
souclinoise,Souclinoise
surdiolane,Surdiolane
tarcholande,Tarcholande
tenaysienne,Tenaysienne
thiloise,Thiloise
thoirysienne,Thoirysienne
thoisseyenne,Thoisseyenne
torciolane,Torciolane
toussinoise,Toussinoise
tramoyenne,Tramoyenne
treffortoises-et-cuisatis,"Treffortoises et Cuisatis"
trevoltienne,Trévoltienne
varambonnaise,Varambonnaise
vauxoise,Vauxoise
verjonnaise,Verjonnaise
versonnexoise,Versonnexoise
vicusienne,Vicusienne
villardoise,Villardoise
villeboisienne,Villeboisienne
villemontoise,Villemontoise
villeneuvoise,Villeneuvoise
surannaise,Surannaise
villetoise,Villetoise
villacucienne,Villacucienne
viriolane,Viriolane
viriolane,Viriolane
vonnassienne,Vonnassienne
abbecourtoise,Abbecourtoise
acheryenne,Acheryenne
aceenne,Acéenne
aguilcourtoise,Aguilcourtoise
aisonvilloises-et-bernovilloise,"Aisonvilloises et Bernovilloise"
aizelloise,Aizelloise
aizyjoise,Aizyjoise
alaincourtoise,Alaincourtoise
amblenoise,Amblenoise
ambrieroise,Ambriéroise
amifontenoise,Amifontenoise
amignyrouysienne,Amignyrouysienne
anguilcourtoise,Anguilcourtoise
anizienne,Anizienne
alnetune,Alnetune
archonaise,Archonaise
artempoise,Artempoise
artongeoise,Artongeoise
athissienne,Athissienne
attillienne,Attillienne
aubencheuloise,Aubencheuloise
aubentonnaise,Aubentonnaise
aubinoise,Aubinoise
albignyacoise,Albignyacoise
audignicourtoise,Audignicourtoise
audignoise,Audignoise
aulnoisienne,Aulnoisienne
autremencourtoise,Autremencourtoise
autrevillaise,Autrevillaise
azycienne,Azycienne
barentonaise,Barentonaise
barisienne,Barisienne
barzyenne,Barzyenne
bassoloise,Bassoloise
beaumeenne,Beauméenne
bellovisienne,Bellovisienne
beaurivoise,Beaurivoise
beautoroise,Beautoroise
beauvoisienne,Beauvoisienne
becquignoise,Becquignoise
bellenglisoise,Bellenglisoise
belleusienne,Belleusienne
bellicourtoise,Bellicourtoise
bernotoise,Bernotoise
berneenne,Bernéenne
berrieusienne,Berrieusienne
berryacoise,Berryacoise
bertaucourtoise,Bertaucourtoise
berthenicourtoise,Berthenicourtoise
bertricourtoise,Bertricourtoise
berzycienne,Berzycienne
besmontoise,Besmontoise
bethancourtoise,Béthancourtoise
beugneusienne,Beugneusienne
beuvardoise,Beuvardoise
bezuyate,Bézuyate
bezuacoise,Bézuacoise
bichancourtoise,Bichancourtoise
bieuxyoise,Bieuxyoise
bievroise,Bièvroise
billysienne,Billysienne
billyacoise,Billyacoise
blerancourtoise,Blérancourtoise
bohainoise,Bohainoise
sylvestrienne,Sylvestrienne
boncourtoise,Boncourtoise
bonneilloise,Bonneilloise
bosmontoise,Bosmontoise
bouconvilloise,Bouconvilloise
bouesienne,Bouésienne
bouffignereusienne,Bouffignereusienne
bourcominoise,Bourcominoise
brainoise,Brainoise
brancourtoise,Brancourtoise
brancourtoise,Brancourtoise
brasloise,Brasloise
brayoise,Brayoise
brayarde,Brayarde
brecoise,Bréçoise
brenelloise,Brenelloise
brioise,Brioise
brumetzienne,Brumetzienne
brunehameloise,Brunehameloise
bruyeroise,Bruyéroise
bruyeroise,Bruyéroise
bucilloise,Bucilloise
bucyquoise,Bucyquoise
bucyacoise,Bucyacoise
buiroise,Buiroise
buironfossoise,Buironfossoise
burelloise,Burelloise
buzanceenne,Buzancéenne
camelinoise,Camelinoise
castroise,Castroise
caulaincourtoise,Caulaincourtoise
caumontoise,Caumontoise
celloise,Celloise
cerseuilloise,Cerseuilloise
cessieroise,Cessièroise
chacrisoise,Chacrisoise
chaillevoisienne,Chaillevoisienne
chalandreenne,Chalandréenne
chambrysienne,Chambrysienne
chaoursienne,Chaoursienne
carlesienne,Carlésienne
charmoise,Charmoise
chartevoise,Chartévoise
chassemysienne,Chassemysienne
casteltheodoricienne,Castelthéodoricienne
chatillonnaise,Châtillonnaise
chatillonnaise,Châtillonnaise
chaudardaise,Chaudardaise
chaudunoise,Chaudunoise
chaunoise,Chaunoise
chavignonnaise,Chavignonnaise
chavignienne,Chavignienne
chermizyacoise,Chermizyacoise
chery-chartreuvoise,Chéry-Chartreuvoise
chevennoise,Chevennoise
chevresienne,Chevrésienne
guernouillate,Guernouillate
cerisienne,Cerisienne
chivresienne,Chivresienne
chiviacussienne,Chiviacussienne
ciergeoise,Ciergeoise
cilloise,Cilloise
clastroise,Clastroise
coeuvreenne,Coeuvréenne
conciacienne,Conciacienne
commenchonoise,Commenchonoise
concevreusienne,Concevreusienne
condeenne,Condéenne
condeenne,Condéenne
condrinoise,Condrinoise
connigeoise,Connigeoise
corbenienne,Corbenienne
coucyssoise,Coucyssoise
coucycoise,Coucycoise
coulongeoise,Coulongeoise
couprusienne,Couprusienne
courmelloise,Courmelloise
varennoise,Varennoise
courtrizienne,Courtrizienne
coveronnaise,Covéronnaise
coyollaise,Coyollaise
craonnaise,Craonnaise
craonneloise,Craonneloise
crecoise,Créçoise
crepynoise,Crépynoise
crezancoise,Crézançoise
crucifonsommoise,Crucifonsommoise
crouttoise,Crouttoise
crouyssienne,Crouyssienne
cufficienne,Cufficienne
cuirolienne,Cuirolienne
cuiry-houssienne,Cuiry-Houssienne
cuiryenne,Cuiryenne
