rewrite,gentile_h_ville_impr1,gentile_h_ville_impr2,nomcaractère
amberieu-en-bugey,Ambarrois,,17
amberieux-en-dombes,Ambarrois,,19
ambleon,Ambléonais,
ambronay,Ambrunois,
ambutrix,Butrian,
andert-et-condon,,,16
anglefort,Clafordan,
apremont,Marrane,
aranc,Randaoillard,
arandas,Arandassien,
arbent,Arbanais,
arbignieu,Arbignolan,
arbigny,Arbigneron,
argis,Argissien,
armix,Armixois,
ars-sur-formans,Arsois,,15
artemare,Artemarien,
asnieres-sur-saone,Asniérois,,18
attignat,Attignatis,
bage-la-ville,Bagésien,,13
bage-le-chatel,Bagésien,,14
balan,Balanais,
baneins,Athanien,
beard-geovreissiat,,,18
beaupont,Beaupontois,
beauregard,Beauregardien,
beligneux,Bélignard,
bellegarde-sur-valserine,Bellegardien,,24
belley,Belleysan,
belleydoux,Belleydousan,
bellignat,Renouillus,
belmont-luthezieu,Belmontais,,17
benonces,Bénonçard,
beny,Bénéen,
beon,Béonais,
bereziat,,
bettant,Bettaniers,
bey,Bégien,
beynost,Beynolan,
billiat,Billiatus,
birieux,Birotan,
biziat,Biziatis,
blyes,Blyard,
bohas-meyriat-rignat,,,20
boissey,,
bolozon,Bolozonnais,
bouligneux,Boulignard,
bourg-en-bresse,Burgien,,15
bourg-saint-christophe,Bourtoirs,,22
boyeux-saint-jerome,,,19
boz,Burhin,
bregnier-cordon,,,15
brenaz,Brénazien,
brenod,Brénodien,
brens,Bréniard,
bressolles,Bressollands,
brion,Brionnais,
briord,Briolands,
buellas,Buellassien,
ceignes,Ceigneurs,
cerdon,Cerdonnais,
certines,Certinois,
cessy,Cessien,
ceyzeriat,Ceyzériacois,
ceyzerieu,Ceyzériolan,
chalamont,Chalamontais,
chaleins,Chalinois,
chaley,Chaleysien,
challes-la-montagne,Chaléen,,19
challex,Challaisien,
champagne-en-valromey,Champenois,,21
champdor,Cambot,
champfromier,Champfromerands,
chanay,Chanerus,
chaneins,Chaneinois,
chanoz-chatenay,Chanozien,,15
charix,Charian,
charnoz-sur-ain,Charnozien,,15
chateau-gaillard,Chateaugaillardan,,16
chatenay,Chatenaysien,
chatillon-en-michaille,Chatillonnais,,22
chatillon-la-palud,Chatillonnais,,18
chatillon-sur-chalaronne,Châtillonnais,,24
chavannes-sur-reyssouze,Chavannois,,23
chavannes-sur-suran,Chavannais,,19
chaveyriat,,
chavornay,,
chazey-bons,Bondolan,,11
chazey-sur-ain,Chazeyens,,14
cheignieu-la-balme,Cheignieulat,,18
chevillard,Savorays,
chevroux,Chevroutis,
chevry,Chevryzien,
chezery-forens,Chézerands,,14
civrieux,Severin,
cize,Cizois,
cleyzieu,Cleyzolets,
coligny,Colignois,
collonges,Collongeois,
colomieu,Colomiard,
conand,Conandais,
condamine,Condaminois,
condeissiat,Conduxien,
confort,Confordiers,
confrancon,Confrançonnais,
contrevoz,Controvolat,
conzieu,Conzolard,
corbonod,,
corcelles,Corcellan,
corlier,Corlieron,
cormaranche-en-bugey,Cormaranchois,,20
cormoranche-sur-saone,Cormoranchois,,21
cormoz,Cormozien,
corveissiat,Curtivessien,
courmangoux,Curtimengien,
courtes,,
crans,,
cras-sur-reyssouze,Crassois,,18
cressin-rochefort,,,17
crottet,Crottassis,
crozet,Crozatis,
cruzilles-les-mepillat,Cruzillard,,22
culoz,Culozien,
curciat-dongalon,Curciatis,,16
curtafond,,
cuzieu,Cuziolan,
dagneux,Dagnard,
divonne-les-bains,Divonnais,,17
dommartin,Dommartinois,
dompierre-sur-chalaronne,Dompierrois,,24
dompierre-sur-veyle,Dompierrois,,19
domsure,Domsurois,
dortan,Dortannais,
douvres,Douvrois,
drom,Dromniers,
druillat,Druillatis,
echallon,Echallonnais,
echenevex,Chenevessien,
etrez,Etrézien,
evosges,Evosgien,
faramans,Faramandard,
fareins,Farinois,
farges,Fargeois,
feillens,Feillendits,
ferney-voltaire,Ferneysien,,15
flaxieu,Flaxiolan,
foissiat,Foissiatis,
francheleins,,
frans,Franvernois,
garnerans,,
genouilleux,Génolien,
geovreisset,,
germagnat,"Germagnatis ou Germanois",
gex,Gessien,
giron,Gironnais,
gorrevod,Gorrevoutis,
grand-corent,Corentin,,12
grieges,Griègeois,
grilly,Grillerands,
groissiat,Groissiatis,
groslee,,
guereins,Guerinois,
hautecourt-romaneche,Altacurcien,,20
hauteville-lompnes,Hautevillois,,18
hostiaz,,
hotonnes,Tiaque,
illiat,Illiatis,
injoux-genissiat,Injolan,,16
innimond,,
izenave,,
izernore,Izernois,
izieu,Izieulants,
jassans-riottier,Jassannais,,16
jasseron,Jasseronnais,
jayat,Jayatis,
journans,Journanais,
joyeux,Joliacois,
jujurieux,Sussurien,
l-abergement-clemenciat,,,23
l-abergement-de-varey,Abergementais,,21
la-boisse,Buissard,,9
la-burbanche,Burbanchois,,12
la-chapelle-du-chatelard,Châtelardois,,24
la-trancliere,Tranclérien,,13
labalme,Balméran,
lagnieu,Lagnolan,
laiz,Laizien,
lalleyriat,Lalleyriatiers,
lancrans,Lancranais,
lantenay,Béguelin,
lapeyrouse,Pérousard,
lavours,Lavortin,
le-grand-abergement,Pofs,,19
le-montellier,Montilien,,13
le-petit-abergement,,,19
le-plantay,Plantaysien,,10
le-poizat,Poizatiers,,9
leaz,Léazien,
lelex,Lélerands,
lent,Lentais,
les-neyrolles,Neyrollan,,13
lescheroux,Lescherouxien,
leyment,Leymentais,
leyssard,,
lhopital,Hospitaliers,
lhuis,Lhuissar,
lochieu,Chicaneurs,
lompnas,,
lompnieu,Lompniolan,
loyettes,Loyettain,
lurcy,Lupercien,
magnieu,Magnolan,
maillat,Maillatis,
malafretaz,Malafertois,
mantenay-montlin,Mantenayron,,16
manziat,Manziatis,
marboz,Marbozien,
marchamp,,
marignieu,Marignolan,
marlieux,Marliozard,
marsonnas,,
martignat,Martignanais,
massieux,Masserot,
massignieu-de-rives,Massignolants,,19
matafelon-granges,Matafelonais,,17
meillonnas,Meillonnassien,
merignat,,
messimy-sur-saone,Messimien,,17
meximieux,Meximiard,
mezeriat,Mézériatis,
mijoux,Mijolands,
mionnay,Mionnezan,
miribel,Miribelan,
miserieux,Miselan,
mogneneins,,
montagnat,,
montagnieu,,
montanges,Montangers,
montceaux,Montcellien,
montcet,,
monthieux,,
montluel,Montluiste,
montmerle-sur-saone,Montmerlois,,19
montracol,,
montreal-la-cluse,Montréalais,,17
montrevel-en-bresse,Montrevélois,,19
murs-et-gelignieux,,,18
nantua,Nantuatien,
nattages,Nattageois,
neuville-les-dames,Neuvillois,,18
neuville-sur-ain,Neuvillois,,16
neyron,Neyrolands,
nievroz,Nièvrants,
nivollet-montgriffon,,,20
nurieux-volognat,,,16
oncieu,Onciolan,
ordonnaz,Ordonnaxien,
ornex,Ornésien,
outriaz,Triolin,
oyonnax,Oyonnaxien,
ozan,,
parcieux,Parcevin,
parves,Parveran,
peron,Péronnais,
peronnas,Péronnassien,
perouges,Pérougien,
perrex,Perrexien,
peyriat,Peyriatis,
peyrieu,Peyriolan,
peyzieux-sur-saone,Piéziacois,,18
pirajoux,Pirajellien,
pizay,Pizolands,
plagne,Plagnard,
polliat,Polliatis,
pollieu,Pollieutants,
poncin,Poncinois,
pont-d-ain,Pondinois,,10
pont-de-vaux,Pontevallois,,12
pont-de-veyle,Pont-de-Veylois,,13
port,Bédouin,
pougny,Pougnerands,
pouillat,Pouillatis,
premeyzel,Prémeyzélan,
premillieu,Pennon,
pressiat,Pressiatis,
prevessin-moens,Prémoënnois,,15
priay,Priaysien,
pugieu,Pugiolan,
ramasse,Ramassard,
rance,Rancéen,
relevant,,
replonges,Replongeard,
revonnas,Rebennien,
reyrieux,Talançonnais,
reyssouze,Reyssoulis,
rignieux-le-franc,Rignard,,17
romans,,
rossillon,Rossillonnais,
ruffieu,Ruffiolan,
saint-alban,,,11
saint-andre-d-huiriat,,,21
saint-andre-de-bage,Bagésien,,19
saint-andre-de-corcy,Corcien,,20
saint-andre-le-bouchoux,,,23
saint-andre-sur-vieux-jonc,,,26
saint-benigne,,,13
saint-benoit,Benoitien,,12
saint-bernard,Spinosien,,13
saint-bois,,,10
saint-champ,Sansolian,,11
saint-cyr-sur-menthon,Saint-Cyrien,,21
saint-denis-en-bugey,San-Denien,,20
saint-denis-les-bourg,Sandenien,,21
saint-didier-d-aussiat,Désidérien,,22
saint-didier-de-formans,Désidérien,,23
saint-didier-sur-chalaronne,Désidérien,,27
saint-eloi,Santaloin,,10
saint-etienne-du-bois,Stéphanois,,21
saint-etienne-sur-chalaronne,,,28
saint-etienne-sur-reyssouze,Stéphanois,,27
saint-genis-pouilly,Saint-Genésien,,19
saint-genis-sur-menthon,,,23
saint-georges-sur-renon,,,23
saint-germain-de-joux,San-Germinois,,21
saint-germain-les-paroisses,,,27
saint-germain-sur-renon,Saint-Germinois,,23
saint-jean-de-gonville,Gonvillois,,22
saint-jean-de-niost,Buyatin,,19
saint-jean-de-thurigneux,Thurignacien,,24
saint-jean-le-vieux,,,19
saint-jean-sur-reyssouze,,,24
saint-jean-sur-veyle,,,20
saint-julien-sur-reyssouze,,,26
saint-julien-sur-veyle,Juliveylois,,22
saint-just,,,10
saint-laurent-sur-saone,Saint-Laurentin,,23
saint-marcel,Marcellinois,,12
saint-martin-de-bavel,Saint-Martenants,,21
saint-martin-du-frene,San-Martinois,,21
saint-martin-du-mont,Saint-Martinois,,20
saint-martin-le-chatel,,,22
saint-maurice-de-beynost,Mauricien,,24
saint-maurice-de-gourdans,,,25
saint-maurice-de-remens,Rémensois,,23
saint-nizier-le-bouchoux,,,24
saint-nizier-le-desert,,,22
saint-paul-de-varax,Varaxois,,19
saint-rambert-en-bugey,Rambertois,,22
saint-remy,Sanrimois,,10
saint-sorlin-en-bugey,Saint-Sorlinois,,21
saint-sulpice,,,13
saint-trivier-de-courtes,Trivicourtois,,24
saint-trivier-sur-moignans,Utingeois,,26
saint-vulbas,Villibadois,,12
sainte-croix,Saint-Cruzien,,12
sainte-euphemie,Euphémien,,15
sainte-julie,,,12
sainte-olive,,,12
salavre,,
samognat,Samognatis,
sandrans,Sandranais,
sault-brenaz,,,12
sauverny,Sauvernien,
savigneux,,
segny,Segnerands,
seillonnaz,,
sergy,Sergien,
sermoyer,Sermoyard,
serrieres-de-briord,Serrièrois,,19
serrieres-sur-ain,,,17
servas,Servassien,
servignat,,
seyssel,Seysselan,
simandre-sur-suran,Simandrin,,18
songieu,Songiolan,
sonthonnax-la-montagne,,,22
souclin,Souclinois,
sulignat,,
surjoux,Surdiolan,
sutrieu,,
talissieu,Tarcholands,
tenay,Tenaysien,
thezillieu,,
