rewrite,gentile_h_ville_impr1,gentile_h_ville_impr2,nomcaractère
treffortoises-et-cuisatis,Treffortois,
aisonvilloises-et-bernovilloise,"Aisonvillois et Bernovillois",
casteltheodoricienne,Castelthéodoricien,,20
chery-chartreuvoise,Chéry-Chartreuvois,
mont-nostradamienne,Mont-Nostradamien,
saint-mard-pontaine,Saint-Mard-Pontain,
revilloises-et-sauvignate,"Révillois et Sauvignat",
saint-christophoise,Saint-Christophois,
saint-gengoulphoise,Saint-Gengoulphois,
lourouziennes-bourbonnaise,"Lourouziens Bourbonnais",
saint-christophoise,Saint-Christophois,
saint-pierre-avezienne,Saint-Pierre-Avezien,
berriassoises-et-casteljoise,Berriassois-et-Casteljois,
guilherandais-grangeoise,Guilherandais-Grangeois,
saint-barthelemienne,Saint-Barthélémien,
stephanoises-boulonnaise,Stéphanois-Boulonnais,
stephanoises-fontbellinienne,"Stéphanoises Fontbellini",
saint-pierrevilloise,Saint-Pierrevillois,
bellevillaises-et-chatillonnaise,"Bellevillais et Chatillonnais",
lavalloises-moricienne,Lavalloises-Morici,
montagnardes-divine,"Montagnardes Divi",
saint-germainmontoise,Saint-Germainmontois,
saint-pierraises-a-arne,Saint-Pierrais-à-Arne,
signaciennes-montlibertoise,Signaciens-Montlibertois,
sorcy-bauthemontaise,Sorcy-Bauthémontais,
castelnau-durbannaise,Castelnau-Durbannais,
mercusiennes-garrabetoise,Mercusiens-Garrabetois,
saint-martinalpoise,Saint-Martinalpois,
doubet-talibautiere,Doubet-Talibautiers,
saint-andrelongoise,Saint-Andrélongois,
saint-polycarpienne,Saint-Polycarpien,
bernagoles-et-latounaine,Bernagoles-et-Latounai,
saint-christophoroise,Saint-Christophorois,
saint-jeantaises-et-saint-paulaise,"Saint-Jeantais et Saint-Paulais",
saint-symphorienoise,Saint-Symphoriénois,
saint-savournicaine,Saint-Savournicain,
beaufourquaises-druvalaise,Beaufourquais-Druvalais,
feuguerollaises-bullienne,Feuguerollaises-Bulli,
mesnil-villementaise,Mesnil-Villementais,
mervillaises-francevillaise,"Mervillais Francevillais",
mezidonnaises-et-canonaise,"Mézidonnais et Canonais",
saint-martindonnaise,Saint-Martindonnais,
stephano-carladesienne,Stéphano-Carladésien,
louzacaises-andresienne,"Louzacaises Andrési",
roullet-stephanoise,Roullet-Stéphanois,
saint-christophorienne,Saint-Christophorien,
hiersoises-et-brouageaise,"Hiersois et Brouageais",
saint-justaises-et-luzacaise,"Saint-Justais et Luzacais",
sainte-colombinoise,Sainte-Colombinois,
sainte-radegondaise,Sainte-Radegondais,
jugealiennes-nazareenne,Jugealiennes-Nazaré,
monestier-merlinoise,Monestier-Merlinois,
saint-pantaleonnaise,Saint-Pantaléonnais,
belvederaises-campomoraise,Belvederais-Campomorais,
